Component,min,Regional contrast,Mean difference [95% CI],Simultaneous 95% CI,Holm P
"Control
ward purchases",2,KR − EUW,"0.0210 [0.0206, 0.0215]","[0.0202, 0.0218]",<0.001
"Control
ward purchases",3,KR − EUW,"0.0843 [0.0834, 0.0853]","[0.0827, 0.0860]",<0.001
"Control
ward purchases",4,KR − EUW,"0.1362 [0.1348, 0.1376]","[0.1338, 0.1386]",<0.001
"Control
ward purchases",5,KR − EUW,"0.1526 [0.1511, 0.1541]","[0.1500, 0.1552]",<0.001
"Control
ward purchases",6,KR − EUW,"0.1552 [0.1538, 0.1566]","[0.1527, 0.1576]",<0.001
"Control
ward purchases",7,KR − EUW,"0.1554 [0.1540, 0.1568]","[0.1530, 0.1579]",<0.001
"Control
ward purchases",8,KR − EUW,"0.1601 [0.1587, 0.1615]","[0.1577, 0.1626]",<0.001
"Control
ward purchases",9,KR − EUW,"0.1648 [0.1634, 0.1661]","[0.1623, 0.1672]",<0.001
"Control
ward purchases",10,KR − EUW,"0.1802 [0.1788, 0.1816]","[0.1777, 0.1827]",<0.001
Ward placement,1,EUW − NA,"−0.0149 [−0.0172, −0.0126]","[−0.0189, −0.0108]",<0.001
Ward placement,2,EUW − NA,"−0.0209 [−0.0228, −0.0190]","[−0.0243, −0.0175]",<0.001
Ward placement,3,EUW − NA,"0.0216 [0.0195, 0.0237]","[0.0180, 0.0253]",<0.001
Ward placement,4,EUW − NA,"0.0322 [0.0294, 0.0349]","[0.0273, 0.0370]",<0.001
Ward placement,5,EUW − NA,"0.0203 [0.0176, 0.0230]","[0.0155, 0.0251]",<0.001
Ward placement,6,EUW − NA,"0.0031 [0.0004, 0.0058]","[−0.0017, 0.0079]",0.025
Ward placement,7,EUW − NA,"0.0209 [0.0181, 0.0238]","[0.0159, 0.0259]",<0.001
Ward placement,8,EUW − NA,"0.0274 [0.0243, 0.0304]","[0.0220, 0.0328]",<0.001
Ward placement,9,EUW − NA,"0.0376 [0.0343, 0.0408]","[0.0318, 0.0433]",<0.001
Ward placement,10,EUW − NA,"0.0496 [0.0463, 0.0530]","[0.0438, 0.0555]",<0.001
Ward clearing,1,EUW − NA,"−0.0011 [−0.0014, −0.0007]","[−0.0017, −0.0005]",<0.001
Ward clearing,2,EUW − NA,"−0.0012 [−0.0015, −0.0008]","[−0.0018, −0.0006]",<0.001
Ward clearing,3,EUW − NA,"−0.0010 [−0.0013, −0.0007]","[−0.0015, −0.0005]",<0.001
Ward clearing,4,EUW − NA,"0.0010 [0.0004, 0.0016]","[−0.0001, 0.0020]",0.002
Ward clearing,5,EUW − NA,"0.0061 [0.0052, 0.0069]","[0.0046, 0.0075]",<0.001
Ward clearing,6,EUW − NA,"0.0077 [0.0067, 0.0087]","[0.0060, 0.0095]",<0.001
Ward clearing,7,EUW − NA,"0.0108 [0.0096, 0.0119]","[0.0088, 0.0128]",<0.001
Ward clearing,8,EUW − NA,"0.0185 [0.0172, 0.0198]","[0.0162, 0.0208]",<0.001
Ward clearing,9,EUW − NA,"0.0222 [0.0207, 0.0237]","[0.0196, 0.0248]",<0.001
Ward clearing,10,EUW − NA,"0.0236 [0.0220, 0.0252]","[0.0208, 0.0265]",<0.001
"Control
ward purchases",1,EUW − NA,"−0.0112 [−0.0117, −0.0107]","[−0.0121, −0.0103]",<0.001
"Control
ward purchases",2,EUW − NA,"0.0015 [0.0011, 0.0019]","[0.0009, 0.0021]",<0.001
"Control
ward purchases",3,EUW − NA,"0.0050 [0.0042, 0.0058]","[0.0036, 0.0064]",<0.001
"Control
ward purchases",4,EUW − NA,"0.0293 [0.0280, 0.0305]","[0.0271, 0.0314]",<0.001
"Control
ward purchases",5,EUW − NA,"0.0211 [0.0197, 0.0224]","[0.0187, 0.0234]",<0.001
"Control
ward purchases",6,EUW − NA,"0.0145 [0.0133, 0.0157]","[0.0123, 0.0167]",<0.001
"Control
ward purchases",7,EUW − NA,"0.0195 [0.0182, 0.0207]","[0.0173, 0.0216]",<0.001
"Control
ward purchases",8,EUW − NA,"0.0196 [0.0183, 0.0208]","[0.0174, 0.0218]",<0.001
"Control
ward purchases",9,EUW − NA,"0.0150 [0.0138, 0.0162]","[0.0129, 0.0171]",<0.001
"Control
ward purchases",10,EUW − NA,"0.0172 [0.0160, 0.0185]","[0.0151, 0.0194]",<0.001
