matrix,relationship,n_pairs,mean_r,mean_abs_r,median_r,min_r,max_r,n_negative
player_region_centered_Pearson,within_M,3,0.40194290081488093,0.40194290081488093,0.4800930838880036,0.2275586650255113,0.4981769535311279,0
player_region_centered_Pearson,within_S,36,0.26976234471679433,0.26976234471679433,0.26200712146748395,0.004210595907391171,0.5853845849880335,0
player_region_centered_Pearson,between_M_S,27,0.08098848367836776,0.08156012827052504,0.0698878227373116,-0.007717201994123197,0.2004163219332569,1
player_region_centered_Pearson,within_M_and_S,39,0.2799300798012626,0.2799300798012626,0.2659672698852313,0.004210595907391171,0.5853845849880335,0
player_region_centered_Pearson,within_signal_subgroups,10,0.26469745470046535,0.26469745470046535,0.30886993610264646,0.004210595907391171,0.4490667084636478,0
player_region_centered_Pearson,between_signal_subgroups,26,0.2717103793384594,0.2717103793384594,0.25315528964677425,0.11411066333239327,0.5853845849880335,0
player_region_centered_Pearson,within_combat,6,0.34601756691811764,0.3633943237462174,0.27498480210853493,-0.0521302704842992,0.8155538607360062,1
player_region_centered_Pearson,M_combat,12,-0.03467371664324886,0.08856584813051192,-0.059931531162450334,-0.18490521419763767,0.1127802088273821,7
player_region_centered_Pearson,S_combat,36,0.0363566953960974,0.041888028514487655,0.03075282898689772,-0.052779191934177516,0.15029142325938202,5
player_region_centered_Pearson,assists_M,3,0.17406205404285338,0.17406205404285338,0.19010688669694123,0.13024991618100315,0.20182935925061576,0
player_region_centered_Pearson,assists_S,9,0.04980404381485417,0.04980404381485417,0.03018293600638703,0.024771275209986517,0.11282683796108567,0
player_region_centered_Pearson,assists_combat,4,-0.08175096408919179,0.14216229686580878,-0.09749296041480204,-0.2528406010803971,0.12082266555323401,3
player_region_centered_Pearson,vision_M,3,0.6666920675328357,0.6666920675328357,0.5965367719084064,0.5792427937389735,0.8242966369511272,0
player_NA_Pearson,within_M,3,0.3794860115830505,0.3794860115830505,0.4625627299212523,0.20398623840950186,0.4719090664183974,0
player_NA_Pearson,within_S,36,0.2806553564121594,0.2806553564121594,0.28046222441726565,0.045693747471832635,0.5545564834729967,0
player_NA_Pearson,between_M_S,27,0.07890128103855923,0.07955490842115029,0.06847739573139734,-0.008823969664979229,0.2205666386455747,1
player_NA_Pearson,within_M_and_S,39,0.2882577145022279,0.2882577145022279,0.28779343775588967,0.045693747471832635,0.5545564834729967,0
player_NA_Pearson,within_signal_subgroups,10,0.2824752588197001,0.2824752588197001,0.30590516753192,0.045693747471832635,0.467059484691827,0
player_NA_Pearson,between_signal_subgroups,26,0.2799553939477207,0.2799553939477207,0.2772744279085547,0.10208255661989449,0.5545564834729967,0
player_NA_Pearson,within_combat,6,0.33333884504397543,0.35568623870217975,0.25688483203763685,-0.0670421809746128,0.8140102006706635,1
player_NA_Pearson,M_combat,12,-0.04242118404427573,0.0813971918125924,-0.07655530276431019,-0.17871969241065433,0.09166126941968004,8
player_NA_Pearson,S_combat,36,0.04246274123933937,0.0506899171342795,0.04308868190966488,-0.06110156086671535,0.15448980785544902,5
player_NA_Pearson,assists_M,3,0.1558691034484899,0.1558691034484899,0.1711527652813077,0.12392970981618584,0.17252483524797607,0
player_NA_Pearson,assists_S,9,0.039675262568667866,0.039675262568667866,0.03333872808600291,0.010418390801994897,0.09324042452133659,0
player_NA_Pearson,assists_combat,4,-0.10331384237397132,0.14836630651280808,-0.11637152437837095,-0.2706172490168169,0.0901049282776735,3
player_NA_Pearson,vision_M,3,0.650408972707787,0.650408972707787,0.5661376022283134,0.5549834245229542,0.8301058913720933,0
player_EUW_Pearson,within_M,3,0.41039679360818077,0.41039679360818077,0.4847418879008412,0.23879910690953093,0.5076493860141703,0
player_EUW_Pearson,within_S,36,0.28154137743298824,0.28154137743298824,0.27721041300821847,0.01661401492062629,0.5754921702929465,0
player_EUW_Pearson,between_M_S,27,0.08567570050698937,0.08567570050698937,0.07674183660489692,0.0022123336594091565,0.19294001861724283,0
player_EUW_Pearson,within_M_and_S,39,0.2914533325233876,0.2914533325233876,0.2823966630123357,0.01661401492062629,0.5754921702929465,0
player_EUW_Pearson,within_signal_subgroups,10,0.2779031868054345,0.2779031868054345,0.29777752763540644,0.01661401492062629,0.4632501192255423,0
player_EUW_Pearson,between_signal_subgroups,26,0.28294068152050883,0.28294068152050883,0.27721041300821847,0.06708052565305371,0.5754921702929465,0
player_EUW_Pearson,within_combat,6,0.3242732621805013,0.35314465867669687,0.24822767292353742,-0.08661418948858671,0.8134821832933757,1
player_EUW_Pearson,M_combat,12,-0.055913371100603376,0.09735026587673486,-0.08329074685227342,-0.21329279700330042,0.10349776338438552,9
player_EUW_Pearson,S_combat,36,0.035084830856713406,0.041516253492463406,0.03364369987548135,-0.05073385181029278,0.13674490952632162,7
player_EUW_Pearson,assists_M,3,0.180624129322403,0.180624129322403,0.1977431852924902,0.14517491141645203,0.19895429125826677,0
player_EUW_Pearson,assists_S,9,0.050426589832032305,0.050426589832032305,0.034293483275423434,0.023816546572198487,0.1122684206235384,0
player_EUW_Pearson,assists_combat,4,-0.10372319996504385,0.16014816220341382,-0.12021499356445117,-0.287312737208013,0.11284992447673993,3
player_EUW_Pearson,vision_M,3,0.6654129466546022,0.6654129466546022,0.5855914164981785,0.581825444784028,0.8288219786815999,0
player_KR_Pearson,within_M,3,0.41934133386307865,0.41934133386307865,0.4647744952281187,0.24080053797057807,0.552448968390539,0
player_KR_Pearson,within_S,36,0.2488040316889238,0.25089049841542316,0.24110708433325417,-0.03522971454194786,0.6272306036868772,2
player_KR_Pearson,between_M_S,27,0.07638067718854351,0.0824597808096618,0.07413663672060013,-0.05177766676143224,0.19107413391273756,3
player_KR_Pearson,within_M_and_S,39,0.26192228570232035,0.26384825498831976,0.24426621134814103,-0.03522971454194786,0.6272306036868772,2
player_KR_Pearson,within_signal_subgroups,10,0.2350102295420336,0.24252150975743136,0.26406750137673485,-0.03522971454194786,0.41738986225009367,2
player_KR_Pearson,between_signal_subgroups,26,0.2541093402069585,0.2541093402069585,0.23416083118484687,0.05089197196391885,0.6272306036868772,0
