predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,q_value_secondary_family
maintenance_diff_z,0.0632109845401414,0.0015671253094828332,0.060139418933555046,0.06628255014672775,1.0652515671354421,1.061984596984566,1.0685285874264019,0.0,2223546,blue_win,logistic,match-score HC0 Wald,0.0
maintenance_diff_z,0.04041284872549124,0.0006234059109238731,0.039190973140080444,0.04163472431090203,,,,0.0,2223546,neutral_objectives_post_diff,standardized linear,match-score HC0 Wald,0.0
maintenance_diff_z,0.015124184575196344,0.0006020805084460626,0.013944106778642062,0.016304262371750627,,,,3.0172465472212256e-139,2223546,building_objectives_post_diff,standardized linear,match-score HC0 Wald,3.0172465472212253e-139
maintenance_diff_z,0.027290255116602716,0.0006282409546223246,0.02605890284554296,0.028521607387662472,,,,0.0,2223546,kills_post_diff,standardized linear,match-score HC0 Wald,0.0
maintenance_diff_z,0.01701087298213426,0.0006312019240969669,0.015773717210904203,0.018248028753364315,,,,5.708892131898076e-160,2223546,gold_growth_post_diff,standardized linear,match-score HC0 Wald,6.850670558277691e-160
maintenance_diff_z,0.03736571997648299,0.0006490656137089158,0.03609355137361352,0.038637888579352464,,,,0.0,2223546,damage_growth_post_diff,standardized linear,match-score HC0 Wald,0.0
