score,contrast,estimate,ci_low,ci_high
functional_groups,NA Diamond-Iron,0.8628167818428896,0.836986264097606,0.8898491733122754
functional_groups,EUW Diamond-Iron,0.8483509916943013,0.8194232573419367,0.8748947610823135
functional_groups,KR Diamond-Iron,0.5885187503585159,0.5605742703446975,0.6145925957098882
functional_groups,KR-NA Diamond-Iron,-0.2742980314843737,-0.31255475986211395,-0.23806118211371888
functional_groups,KR-EUW Diamond-Iron,-0.2598322413357854,-0.2985411618698836,-0.2220479316214312
functional_groups,EUW-NA Diamond-Iron,-0.014465790148588287,-0.05277546138467509,0.02228257376649843
equal_nine_pings,NA Diamond-Iron,0.8877327218062824,0.8620296977902656,0.9148018123574326
equal_nine_pings,EUW Diamond-Iron,0.8774388508526014,0.8478889792593465,0.9044922839742263
equal_nine_pings,KR Diamond-Iron,0.6160106358180054,0.5880297665479319,0.6417427786770773
equal_nine_pings,KR-NA Diamond-Iron,-0.27172208598827696,-0.309217916784292,-0.23449437660735878
equal_nine_pings,KR-EUW Diamond-Iron,-0.261428215034596,-0.300509189098635,-0.22251973118311455
equal_nine_pings,EUW-NA Diamond-Iron,-0.01029387095368095,-0.04844662975369814,0.02615028765989366
