region,display_region,beta,se,odds_ratio,or_low,or_high,p_value,n_matches
NA1,NA,0.08641121072744538,0.0025102871255729955,1.0902545605107952,1.0849035054423857,1.0956320085166424,1.1482591077e-259,701644
EUW1,EUW,0.09241727979888958,0.0024561544978974775,1.0968224084374163,1.0915549256347918,1.102115310368684,7.8336264107e-310,754672
KR,KR,0.1097263711294874,0.0026948417804566046,1.1159726663368716,1.110093761126014,1.1218827054282072,1.9312848931e-362,754605
