region,tier,n_matches,mean_duration,mean_maintenance_difference,mean_absolute_gold_difference,first_game,last_game,sample,sample_fraction
EUW1,SILVER,5403,1868.7334813992227,0.002665651899341814,1589.6255783823801,2024-06-12 12:19:15.149000+00:00,2026-03-17 01:07:03.085000+00:00,all_participants_disjoint,0.06322921908462159
KR,BRONZE,5230,1763.7434034416826,-0.0012987434350621421,1690.9837476099426,2024-06-13 08:03:12.206000+00:00,2026-03-16 15:24:55.462000+00:00,all_participants_disjoint,0.061204667002141576
KR,DIAMOND,2911,1654.553761593954,-0.016256799284109058,1682.6739951906561,2024-07-30 08:28:49.919000+00:00,2026-03-30 12:37:54.492000+00:00,all_participants_disjoint,0.03406630700635452
KR,EMERALD,4065,1693.7776137761377,0.021101953563982617,1675.0651906519065,2024-07-10 10:46:34.156000+00:00,2026-03-29 12:54:24.310000+00:00,all_participants_disjoint,0.04757112263168366
KR,GOLD,5417,1745.1528521321766,0.013974800100933077,1656.7908436403914,2024-07-04 05:10:55.634000+00:00,2026-03-22 15:36:02.468000+00:00,all_participants_disjoint,0.06339305566933096
KR,IRON,3506,1725.1591557330291,9.12084701975291e-05,1827.5852823730747,2024-06-05 03:32:48.898000+00:00,2026-03-11 16:19:33.360000+00:00,all_participants_disjoint,0.04102936185650256
KR,PLATINUM,4862,1744.3545865898807,-0.009580009677711472,1652.8473879062115,2024-06-07 09:18:20.165000+00:00,2026-03-28 16:19:10.312000+00:00,all_participants_disjoint,0.056898105346923966
KR,SILVER,5276,1758.5799848369977,0.024497172296182774,1673.3273313115997,2024-06-19 17:34:59.164000+00:00,2026-03-20 15:19:56.523000+00:00,all_participants_disjoint,0.06174298720904378
NA1,BRONZE,4123,1863.2488479262672,0.009683936621381214,1593.6010186757217,2024-06-05 04:54:07.664000+00:00,2026-03-14 15:25:00.266000+00:00,all_participants_disjoint,0.04824987419690817
NA1,DIAMOND,1580,1750.3006329113923,0.05368178401551341,1626.6151898734176,2024-07-15 08:02:03.370000+00:00,2026-03-28 13:02:28.795000+00:00,all_participants_disjoint,0.01849012884577126
NA1,EMERALD,2343,1777.113956466069,-0.04619601979712179,1624.7349551856594,2024-07-10 21:15:08.565000+00:00,2026-03-27 19:18:10.808000+00:00,all_participants_disjoint,0.027419222712431687
NA1,GOLD,4429,1843.10453827049,-0.008862196137117431,1571.3278392413638,2024-06-30 09:10:16.837000+00:00,2026-03-23 06:10:28.150000+00:00,all_participants_disjoint,0.05183087383412716
NA1,IRON,1982,1796.6559031281533,0.008516091920984339,1713.821897073663,2024-06-02 14:00:34.306000+00:00,2026-03-14 06:54:00.642000+00:00,all_participants_disjoint,0.02319457934956876
NA1,PLATINUM,3322,1812.1315472606864,0.017219929499268375,1593.5051173991571,2024-07-02 00:30:34.647000+00:00,2026-03-25 23:16:13.284000+00:00,all_participants_disjoint,0.038876081028893755
NA1,SILVER,4317,1857.8971507991662,-0.009982617374196414,1576.0236275191105,2024-06-15 18:59:40.901000+00:00,2026-03-22 02:47:28.335000+00:00,all_participants_disjoint,0.05052018115645224
