contrast,maintenance_difference,maintenance_low,maintenance_high,signal_difference,signal_low,signal_high,estimate,ci_low,ci_high,se,z,p_value,log10_p,primary_process_difference,n_players,log10_p_holm,p_holm,family
KR-NA,0.37050255474279803,0.36442730841637305,0.3762948058203992,0.24301401442109596,0.2336729885474706,0.25201796539266974,0.12748854032170207,0.11781668170150174,0.13719103436355495,0.005168905382767972,24.664514221274324,2.5714695950e-134,-133.5898186063947,0.12722502339983266,84000,-133.2887886107307,5.1429391901e-134,3 supplementary between-process contrasts under nine-signal equal weighting
KR-EUW,0.3316189205327468,0.32566223450182397,0.3372401342891248,0.12137980186501512,0.11102709917699034,0.13164037875504167,0.21023911866773165,0.20020130149669987,0.22050912650738613,0.00534443973717154,39.3379154797987,1.8952275916e-338,-337.72233862957324,0.21218927540624113,84000,-337.2452173748536,5.6856827749e-338,3 supplementary between-process contrasts under nine-signal equal weighting
EUW-NA,0.03888363421005121,0.0338136647249803,0.04414846799353478,0.12163421255608084,0.11129288614692744,0.1315109902099589,-0.08275057834602963,-0.0928935744657043,-0.07178290412917125,0.005350971161481953,-15.46459060398147,6.0154483324e-54,-53.220731999073166,-0.08496425200640853,84000,-53.220731999073166,6.0154483324e-54,3 supplementary between-process contrasts under nine-signal equal weighting
