specification,signal_score,contrast,measure,estimate,ci_low,ci_high,bootstrap_sd,n_records,n_players
additive,functional_groups,KR-NA,maintenance,0.3705025547428015,0.36442730841637866,0.37629480582040237,0.0029414237560054504,2519994,126000
additive,functional_groups,KR-NA,signalling,0.2432775313429687,0.23409924021104628,0.25229195313830266,0.004811213878227067,2519994,126000
additive,functional_groups,KR-NA,maintenance_minus_signalling,0.12722502339983283,0.11742366704238796,0.1371002226895342,0.005105678972008579,2519994,126000
additive,functional_groups,KR-EUW,maintenance,0.3316189205327479,0.3256622345018283,0.33724013428912564,0.0029677434978951293,2519994,126000
additive,functional_groups,KR-EUW,signalling,0.11942964512650817,0.10901001802824319,0.12930113841887356,0.005204022082598309,2519994,126000
additive,functional_groups,KR-EUW,maintenance_minus_signalling,0.21218927540623972,0.2019120941551291,0.22266388376838336,0.005216179104076823,2519994,126000
additive,functional_groups,EUW-NA,maintenance,0.038883634210053655,0.03381366472498573,0.04414846799354055,0.0027876168779490114,2519994,126000
additive,functional_groups,EUW-NA,signalling,0.12384788621646052,0.11338747820454032,0.13403478409630423,0.005164678213380992,2519994,126000
additive,functional_groups,EUW-NA,maintenance_minus_signalling,-0.08496425200640687,-0.09496195705745877,-0.07430877006409622,0.005247439956948694,2519994,126000
region_by_tier,functional_groups,KR-NA,maintenance,0.37043667453366563,0.3643641130591727,0.37622368430981745,0.0029400896710306094,2519994,126000
region_by_tier,functional_groups,KR-NA,signalling,0.24329781079845778,0.23413687378630504,0.25229813619039054,0.004811794996788955,2519994,126000
region_by_tier,functional_groups,KR-NA,maintenance_minus_signalling,0.12713886373520786,0.11733202114571968,0.13703342719443723,0.005106519480312841,2519994,126000
region_by_tier,functional_groups,KR-EUW,maintenance,0.33140944382208226,0.3254678174501515,0.3370059992198131,0.00296532078958939,2519994,126000
region_by_tier,functional_groups,KR-EUW,signalling,0.11961459092466152,0.1092275844931737,0.12949446788347604,0.00520414317479578,2519994,126000
region_by_tier,functional_groups,KR-EUW,maintenance_minus_signalling,0.21179485289742073,0.20149818469061764,0.22226965898491396,0.005215117032033356,2519994,126000
region_by_tier,functional_groups,EUW-NA,maintenance,0.039027230711583344,0.033936799864565,0.044293532209033586,0.0027874953101082144,2519994,126000
region_by_tier,functional_groups,EUW-NA,signalling,0.12368321987379625,0.11325517616767643,0.1338798877451391,0.005168845956940514,2519994,126000
region_by_tier,functional_groups,EUW-NA,maintenance_minus_signalling,-0.08465598916221291,-0.09464311928835936,-0.07395767263847429,0.005250801251971997,2519994,126000
region_by_position,functional_groups,KR-NA,maintenance,0.374921405218865,0.3689846400401689,0.3806954730709554,0.0029177263156760173,2519994,126000
region_by_position,functional_groups,KR-NA,signalling,0.24533224800168546,0.23604723067654754,0.25453653490090816,0.004848595966253608,2519994,126000
region_by_position,functional_groups,KR-NA,maintenance_minus_signalling,0.12958915721717956,0.11973150906831403,0.13954830542106642,0.005142348799038093,2519994,126000
region_by_position,functional_groups,KR-EUW,maintenance,0.3365491520480521,0.3308288788785196,0.3421426279128429,0.002912150766486866,2519994,126000
region_by_position,functional_groups,KR-EUW,signalling,0.12104991632312778,0.11072490355932943,0.13129531338570016,0.005232167814224768,2519994,126000
region_by_position,functional_groups,KR-EUW,maintenance_minus_signalling,0.2154992357249243,0.2052647032380702,0.2260150263246788,0.005246548930816953,2519994,126000
region_by_position,functional_groups,EUW-NA,maintenance,0.03837225317081293,0.033449046740801985,0.04351208013338868,0.002753593716998966,2519994,126000
region_by_position,functional_groups,EUW-NA,signalling,0.12428233167855765,0.11384879389602513,0.1344629410146541,0.005195069873546634,2519994,126000
region_by_position,functional_groups,EUW-NA,maintenance_minus_signalling,-0.08591007850774472,-0.09576066520921689,-0.07539796430575547,0.005272052972113197,2519994,126000
both_interactions,functional_groups,KR-NA,maintenance,0.37485037674039023,0.3689323092837081,0.3806415412704442,0.0029159029428192517,2519994,126000
both_interactions,functional_groups,KR-NA,signalling,0.24538277678128412,0.23611793254886024,0.25457204816970347,0.004848346854074106,2519994,126000
both_interactions,functional_groups,KR-NA,maintenance_minus_signalling,0.12946759995910612,0.11960650395361526,0.13940658240929843,0.005142475988490782,2519994,126000
both_interactions,functional_groups,KR-EUW,maintenance,0.33636074674086264,0.3305988594639727,0.3419604528119003,0.0029085578218393795,2519994,126000
both_interactions,functional_groups,KR-EUW,signalling,0.12122223357445379,0.1108995118225915,0.1315189939067382,0.005232640512877084,2519994,126000
both_interactions,functional_groups,KR-EUW,maintenance_minus_signalling,0.21513851316640886,0.20492877119908734,0.22561114942993404,0.005245873366810767,2519994,126000
both_interactions,functional_groups,EUW-NA,maintenance,0.038489629999527625,0.03356640386926197,0.04363190078199827,0.002753300152027049,2519994,126000
both_interactions,functional_groups,EUW-NA,signalling,0.12416054320683034,0.11379196996870246,0.13434973878940676,0.0051981537873533245,2519994,126000
both_interactions,functional_groups,EUW-NA,maintenance_minus_signalling,-0.08567091320730272,-0.0956011258371941,-0.07514914788950089,0.005272719837683263,2519994,126000
