region,tier,patch,n_matches,reference_weight
NA,PLATINUM,15.20,586,0.00809870627508287
NA,PLATINUM,15.21,581,0.008540125763094795
NA,PLATINUM,15.22,883,0.01233877214169907
NA,PLATINUM,15.23,1162,0.016694436260976955
NA,PLATINUM,15.24,4818,0.0681390729898098
NA,PLATINUM,15.3,191,0.002533894188090551
NA,PLATINUM,15.4,148,0.0024626817624002293
NA,PLATINUM,15.8,155,0.002169540201853084
NA,PLATINUM,15.9,168,0.0025153594471574534
NA,PLATINUM,16.1,10176,0.11492222237396864
NA,PLATINUM,16.2,12447,0.13776190076694808
NA,PLATINUM,16.3,15506,0.18221503811328044
NA,PLATINUM,16.4,17292,0.21594143802275287
NA,PLATINUM,16.5,22383,0.16976798406402485
NA,EMERALD,14.24,220,0.0039015629664170006
NA,EMERALD,15.1,127,0.0027124130086566994
NA,EMERALD,15.10,195,0.0028021601752801183
NA,EMERALD,15.11,252,0.003078230263915201
NA,EMERALD,15.12,227,0.0037796238813308336
NA,EMERALD,15.13,372,0.005731136999049851
NA,EMERALD,15.14,346,0.005090712924177301
NA,EMERALD,15.15,385,0.004807814246777394
NA,EMERALD,15.16,391,0.005245819440406906
NA,EMERALD,15.17,314,0.005383854484724447
NA,EMERALD,15.18,328,0.005962821260713568
NA,EMERALD,15.19,438,0.007402677977411029
NA,EMERALD,15.20,576,0.00809870627508287
NA,EMERALD,15.21,549,0.008540125763094795
NA,EMERALD,15.22,765,0.01233877214169907
NA,EMERALD,15.23,1119,0.016694436260976955
NA,EMERALD,15.24,4331,0.0681390729898098
NA,EMERALD,15.3,165,0.002533894188090551
NA,EMERALD,15.4,111,0.0024626817624002293
NA,EMERALD,15.8,129,0.002169540201853084
NA,EMERALD,15.9,139,0.0025153594471574534
NA,EMERALD,16.1,10131,0.11492222237396864
NA,EMERALD,16.2,13452,0.13776190076694808
NA,EMERALD,16.3,15223,0.18221503811328044
NA,EMERALD,16.4,16326,0.21594143802275287
NA,EMERALD,16.5,19611,0.16976798406402485
NA,DIAMOND,14.24,107,0.0039015629664170006
NA,DIAMOND,15.1,75,0.0027124130086566994
NA,DIAMOND,15.10,96,0.0028021601752801183
NA,DIAMOND,15.11,141,0.003078230263915201
NA,DIAMOND,15.12,120,0.0037796238813308336
NA,DIAMOND,15.13,188,0.005731136999049851
NA,DIAMOND,15.14,184,0.005090712924177301
NA,DIAMOND,15.15,195,0.004807814246777394
NA,DIAMOND,15.16,216,0.005245819440406906
NA,DIAMOND,15.17,190,0.005383854484724447
NA,DIAMOND,15.18,217,0.005962821260713568
NA,DIAMOND,15.19,234,0.007402677977411029
NA,DIAMOND,15.20,324,0.00809870627508287
NA,DIAMOND,15.21,336,0.008540125763094795
NA,DIAMOND,15.22,485,0.01233877214169907
NA,DIAMOND,15.23,738,0.016694436260976955
NA,DIAMOND,15.24,3003,0.0681390729898098
NA,DIAMOND,15.3,87,0.002533894188090551
NA,DIAMOND,15.4,66,0.0024626817624002293
NA,DIAMOND,15.8,75,0.002169540201853084
NA,DIAMOND,15.9,80,0.0025153594471574534
NA,DIAMOND,16.1,10590,0.11492222237396864
NA,DIAMOND,16.2,15984,0.13776190076694808
NA,DIAMOND,16.3,19285,0.18221503811328044
NA,DIAMOND,16.4,17093,0.21594143802275287
NA,DIAMOND,16.5,16668,0.16976798406402485
EUW,IRON,14.24,394,0.0039015629664170006
EUW,IRON,15.1,238,0.0027124130086566994
EUW,IRON,15.10,211,0.0028021601752801183
EUW,IRON,15.11,211,0.003078230263915201
EUW,IRON,15.12,257,0.0037796238813308336
EUW,IRON,15.13,369,0.005731136999049851
EUW,IRON,15.14,326,0.005090712924177301
EUW,IRON,15.15,255,0.004807814246777394
EUW,IRON,15.16,271,0.005245819440406906
EUW,IRON,15.17,355,0.005383854484724447
EUW,IRON,15.18,380,0.005962821260713568
EUW,IRON,15.19,398,0.007402677977411029
EUW,IRON,15.20,592,0.00809870627508287
EUW,IRON,15.21,654,0.008540125763094795
EUW,IRON,15.22,757,0.01233877214169907
EUW,IRON,15.23,1014,0.016694436260976955
EUW,IRON,15.24,4813,0.0681390729898098
EUW,IRON,15.3,146,0.002533894188090551
EUW,IRON,15.4,182,0.0024626817624002293
EUW,IRON,15.8,133,0.002169540201853084
EUW,IRON,15.9,153,0.0025153594471574534
EUW,IRON,16.1,8766,0.11492222237396864
EUW,IRON,16.2,12133,0.13776190076694808
EUW,IRON,16.3,20945,0.18221503811328044
EUW,IRON,16.4,34644,0.21594143802275287
EUW,IRON,16.5,5726,0.16976798406402485
EUW,BRONZE,14.24,777,0.0039015629664170006
EUW,BRONZE,15.1,583,0.0027124130086566994
EUW,BRONZE,15.10,464,0.0028021601752801183
EUW,BRONZE,15.11,510,0.003078230263915201
EUW,BRONZE,15.12,648,0.0037796238813308336
