type,contrast,measure,estimate,ci_low,ci_high
additive,KR-NA,maintenance,0.3673292513777918,0.36049075348487086,0.37367373303902696
additive,KR-NA,signalling,0.2458064004388124,0.2348818496898838,0.25682908307601027
additive,KR-NA,maintenance_minus_signalling,0.12152285093897941,0.1095716536617524,0.13357019743236495
additive,KR-EUW,maintenance,0.33541362328837165,0.32840825947579605,0.34194093687004246
additive,KR-EUW,signalling,0.11707604363884623,0.10532284415578773,0.12974962341446014
additive,KR-EUW,maintenance_minus_signalling,0.21833757964952544,0.2060810613102246,0.23034053109492447
additive,EUW-NA,maintenance,0.03191562808942018,0.02518795896126663,0.038432547382832694
additive,EUW-NA,signalling,0.12873035679996617,0.11633261371042176,0.1408590588906342
additive,EUW-NA,maintenance_minus_signalling,-0.09681472871054599,-0.10874580031881248,-0.08473172266503837
tier_endpoint,NA Diamond-Iron,maintenance,0.727652506486761,0.7090544187490073,0.7457261467337519
tier_endpoint,EUW Diamond-Iron,maintenance,0.7662164354708662,0.7477472770259599,0.7851121536094392
tier_endpoint,KR Diamond-Iron,maintenance,1.1565466217779357,1.1370755626448075,1.174080321912571
regional_tier_endpoint,KR-NA,maintenance,0.4288941152911746,0.4033701468389489,0.45448977222074244
regional_tier_endpoint,KR-EUW,maintenance,0.3903301863070695,0.36341766253227864,0.4169328711427006
regional_tier_endpoint,EUW-NA,maintenance,0.0385639289841051,0.013055522678385598,0.06365929819724282
tier_endpoint,NA Diamond-Iron,signalling,0.8327902217188639,0.8048078668924946,0.8623115514259034
tier_endpoint,EUW Diamond-Iron,signalling,0.8166725911289224,0.7852524130744518,0.8470431768130219
tier_endpoint,KR Diamond-Iron,signalling,0.5472329585359408,0.5142221029216217,0.5785315315203229
regional_tier_endpoint,KR-NA,signalling,-0.28555726318292307,-0.3286039880850055,-0.24416923658941536
regional_tier_endpoint,KR-EUW,signalling,-0.26943963259298165,-0.31302384000593836,-0.22667541909380495
regional_tier_endpoint,EUW-NA,signalling,-0.016117630589941423,-0.060182449528480925,0.02536008849784697
