predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family
maintenance_diff_z,0.09815759478438406,0.0018699236891006298,0.09449254435374682,0.1018226452150213,1.103136619988186,1.099100968594424,1.1071870893856048,0.0,1386633,first_post_neutral_blue,logistic,match-score HC0 Wald,old_all_timeline_matches_corrected,estimated,0.0
maintenance_diff_z,0.09942041479973299,0.0019446772595009285,0.09560884737111117,0.10323198222835481,1.1045305629558662,1.100328583389623,1.108748589212654,0.0,1273593,first_post_neutral_blue,logistic,match-score HC0 Wald,old_Iron_Gold_matches_corrected,estimated,0.0
maintenance_diff_z,0.09872199890901776,0.0015373170135757265,0.09570885756240934,0.10173514025562617,1.1037594105827995,1.1004386329646865,1.1070902092631127,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,all_available_common_old_scale,estimated,0.0
maintenance_diff_z,0.0949011461502166,0.0026066365361898,0.0897921385392845,0.1000101537611486,1.0995501549876274,1.093946870676343,1.1051821397741493,3.238012922697638e-290,824288,first_post_neutral_blue,logistic,match-score HC0 Wald,newly_available_matches_only,estimated,1.2628250398520788e-289
maintenance_diff_z,0.095922685708794,0.0018848901051127,0.0922283011027729,0.099617070314815,1.1006739628769664,1.096615151952945,1.1047477963420198,0.0,1275770,first_post_neutral_blue,logistic,match-score HC0 Wald,all_available_Iron_Gold,estimated,0.0
maintenance_diff_z,0.0932514343302299,0.0024292530703734,0.0884900983122979,0.0980127703481619,1.0977377095176886,1.092523434731064,1.1029768704172205,0.0,935151,first_post_neutral_blue,logistic,match-score HC0 Wald,all_available_Platinum_Diamond,estimated,0.0
maintenance_diff_z,0.0954983581113821,0.001490011202689,0.0925779361541116,0.0984187800686527,1.100207015615076,1.0969986340833875,1.1034247806698914,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,add_final_duration,estimated,0.0
maintenance_diff_z,0.0954668602100553,0.0014896725016474,0.0925471021068262,0.0983866183132844,1.1001723619488208,1.0969648096971063,1.1033892931627014,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,omit_sampling_time_tier,estimated,0.0
maintenance_diff_z,0.0956139789766443,0.0014875617771694,0.0926983578933922,0.0985296000598963,1.1003342298563576,1.097130744521217,1.1035470689702922,0.0,2217022,first_legal_post_neutral_blue,logistic,match-score HC0 Wald,first_legally_assigned_objective,estimated,0.0
valid_wards_placed_diff_z,0.0731670688112159,0.0014658468604643,0.0702940089647057,0.0760401286577261,1.0759102729504193,1.072823554633254,1.0790058723458649,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,component_valid_wards_placed,estimated,0.0
