contrast,measure,estimate,one_step_sd,full_refit_sd,sd_ratio,one_step_low,one_step_high,full_refit_low,full_refit_high,paired_rmse,paired_correlation,n_records,n_players,replicates
KR-NA,maintenance,0.3308684435250018,0.022021916247392918,0.022056547121612948,0.9984299050060245,0.29041910556691597,0.37737750119470115,0.29031716635373256,0.37652872306704993,0.0012804028000775302,0.9985393112002526,42000,2100,300
KR-NA,signalling,0.28419325508736304,0.03732889456264023,0.037392073418308955,0.9983103676824245,0.21821640494824868,0.3641553745819111,0.21734236087388029,0.3637107064744752,0.0016685433400915116,0.9990263219579945,42000,2100,300
KR-NA,maintenance_minus_signalling,0.04667518843763874,0.03957803891002036,0.03945076522495888,1.0032261398311473,-0.03164992203359618,0.12264487131503415,-0.03229492407909929,0.1246234255332259,0.001968299495611854,0.9987741500407146,42000,2100,300
KR-EUW,maintenance,0.33448658611187765,0.022386527414369452,0.02241381039137447,0.9987827604263344,0.2917909345561142,0.38250089075302623,0.29115626045695525,0.3817266981542294,0.0011181262848841528,0.9988147932618949,42000,2100,300
KR-EUW,signalling,0.09975758494479278,0.03797250705409933,0.0380278404050722,0.9985449252341585,0.038248753041054025,0.186489956648004,0.036842389395234224,0.18484137221489053,0.0016522607218075708,0.9990536017837569,42000,2100,300
KR-EUW,maintenance_minus_signalling,0.23472900116708487,0.040921683969778994,0.040893049425748854,1.0007002300985681,0.15562061349918394,0.3087897544017034,0.15522964011303805,0.30849457937106534,0.0018686163510166522,0.998981529849644,42000,2100,300
EUW-NA,maintenance,-0.0036181425868758443,0.022969409773363786,0.022965416119040814,1.0001738986266249,-0.04981453336195686,0.03981928974627741,-0.0502614791069727,0.04047681298905514,0.001196142815724169,0.9986854343841127,42000,2100,300
EUW-NA,signalling,0.18443567014257026,0.04054778542057835,0.040681350138205154,0.9967168071567672,0.10783399852840249,0.26343715686801744,0.1067709855395155,0.26109362122785323,0.0016832124755277217,0.9991747713340418,42000,2100,300
EUW-NA,maintenance_minus_signalling,-0.1880538127294461,0.04034217611426363,0.040432665910929214,0.9977619631397808,-0.26370145467159417,-0.10777956895748028,-0.26388536290799425,-0.1068379154948649,0.0020188087664347095,0.9987520511549924,42000,2100,300
