specification,region,n_matches,beta,robust_se,odds_ratio,or_low,or_high,p_value
original,All,2210921,0.09552095016585807,0.0014899305316150439,1.1002318718326831,1.0970235912724515,1.1034495351119693,0.0
original,EUW,754672,0.0923389861253167,0.0024851003984995195,1.0967365375434204,1.091407545501034,1.1020915493401184,3.373841167452106e-302
original,KR,754605,0.11054680574643624,0.002736458132187471,1.116888624634472,1.1109142753809103,1.1228951031439038,0.0
original,NA,701644,0.08569291384733041,0.002543302588570209,1.0894717152527615,1.084054350690305,1.0949161521098716,7.183439701478866e-249
original_first_objective_after_60_seconds,All,1678380,0.09504252846323959,0.0017294114477484645,1.0997056229217734,1.0959843201879742,1.1034395609586345,0.0
original_first_objective_after_60_seconds,EUW,582593,0.08996138585169729,0.002858791296265894,1.0941320339128755,1.0880185032046013,1.1002799162958785,2.356814898313887e-217
original_first_objective_after_60_seconds,KR,549332,0.11411196485269198,0.0032619799394705716,1.1208776167559282,1.1137341674528936,1.1280668838756702,4.1635284557031804e-268
original_first_objective_after_60_seconds,NA,546455,0.08474525351878985,0.002912779402073567,1.0884397551801903,1.0822435049510637,1.0946714812673157,4.23935832954412e-186
