measure,contrast,type,estimate,ci_low,ci_high,se,family,log10_p,log10_p_holm,p_value,p_holm
overall,NA Diamond-Iron,endpoint,0.7949740484302437,0.7802178626733518,0.813090984857576,0.008417592779153745,endpoint_processes,-1938.8715721968308,-1938.0264741568164,1.3440883077e-1939,9.4086181542e-1939
overall,NA BRONZE-IRON,adjacent,0.22230682664978862,0.20717207004470928,0.2370766994213447,0.0075457380084186275,adjacent_processes,-190.04398944049845,-188.36274820312286,9.0367144546e-191,4.3376229382e-189
overall,NA SILVER-BRONZE,adjacent,0.15967524598969057,0.1455309907523028,0.17453475446293376,0.007314399393266992,adjacent_processes,-104.92177635437415,-103.27832367788795,1.1973569672e-105,5.2683706557e-104
overall,NA GOLD-SILVER,adjacent,0.1109225964602851,0.09529046930125366,0.12477628449380684,0.007344191012657045,adjacent_processes,-50.81336639966257,-49.245164675595575,1.5368574982e-51,5.6863727432e-50
overall,NA PLATINUM-GOLD,adjacent,0.10572885189438014,0.09068241204002211,0.12073050099230925,0.00773080251039543,adjacent_processes,-41.8518566530602,-40.33334271318232,1.4065116928e-42,4.6414885861e-41
overall,NA EMERALD-PLATINUM,adjacent,0.09824741662827602,0.08225926920547323,0.11548185112759837,0.008324496593541017,adjacent_processes,-31.419970495574876,-30.03975925386327,3.8021522592e-32,9.1251654220e-31
overall,NA DIAMOND-EMERALD,adjacent,0.09809311080782318,0.08101293052527271,0.11744427599721573,0.00891738260122212,adjacent_processes,-27.418814034934503,-26.096594740200583,3.8122903087e-28,8.0058096482e-27
overall,NA BRONZE,local_change,-0.062631580660098,-0.0888228091649857,-0.03765337840006957,0.012898265600762926,local_change_processes,-5.921205776676336,-4.353004052609341,1.1989310930e-6,4.4360450443e-5
overall,NA SILVER,local_change,-0.04875264952940547,-0.0747969257528619,-0.024996671352451177,0.012592528268855489,local_change_processes,-3.965998287722989,-2.434519370680734,1.0814382150e-4,3.6768899311e-3
overall,NA GOLD,local_change,-0.005193744565904962,-0.031553922776701916,0.02122212326064114,0.013047704464816666,local_change_processes,-0.16078137965768244,0.0,6.9058735246e-1,1.0000000000e+0
overall,NA PLATINUM,local_change,-0.007481435266104106,-0.032951868608234854,0.020500534248026447,0.013844538446831225,local_change_processes,-0.22993717540466327,0.0,5.8892884304e-1,1.0000000000e+0
overall,NA EMERALD,local_change,-0.00015430582045284497,-0.03245302449001253,0.03193034798992979,0.01498186558522102,local_change_processes,-0.00358363435462283,0.0,9.9178232815e-1,1.0000000000e+0
overall,EUW Diamond-Iron,endpoint,0.8029452927321882,0.7848040787693227,0.8200222493390653,0.00908173920853752,endpoint_processes,-1699.4601782538546,-1698.8581182625267,3.4659456336e-1700,1.3863782535e-1699
overall,EUW BRONZE-IRON,adjacent,0.24657575483016686,0.23299321505566684,0.2628022213950683,0.00801254498106429,adjacent_processes,-207.22977587646307,-205.53957979643457,5.8914761451e-208,2.8868233111e-206
overall,EUW SILVER-BRONZE,adjacent,0.1678846392271362,0.15269167241797588,0.18139303829406297,0.007825115388300425,adjacent_processes,-101.38326654029295,-99.74979808471336,4.1374566805e-102,1.7791063726e-100
overall,EUW GOLD-SILVER,adjacent,0.10821215194117306,0.0930044591184856,0.12353258154346483,0.007998950705098368,adjacent_processes,-40.97278631933712,-39.46763634101721,1.0646667245e-41,3.4069335183e-40
overall,EUW PLATINUM-GOLD,adjacent,0.07002526147352588,0.054299933583034386,0.08575469483509539,0.008470168838914788,adjacent_processes,-15.863123245476242,-14.821730560318017,1.3704927882e-16,1.5075420670e-15
overall,EUW EMERALD-PLATINUM,adjacent,0.09354986245524695,0.07653396461980295,0.11087470814197278,0.008850686658884123,adjacent_processes,-25.385700742873567,-24.106947141920738,4.1143312762e-26,7.8172294247e-25
overall,EUW DIAMOND-EMERALD,adjacent,0.11669762280493923,0.09732272285508188,0.1348933748061656,0.009436901219460798,adjacent_processes,-34.39931329329693,-32.936915295397974,3.9873715579e-35,1.1563377518e-33
overall,EUW BRONZE,local_change,-0.07869111560303066,-0.10414517594539092,-0.055762143955017975,0.013696985040269425,local_change_processes,-8.036948207847473,-6.457164611230663,9.1844211954e-9,3.4900800542e-7
overall,EUW SILVER,local_change,-0.05967248728596314,-0.08358122296790842,-0.032902572501942305,0.013620253042218783,local_change_processes,-4.927934159979283,-3.383866115629007,1.1804995885e-5,4.1317485597e-4
overall,EUW GOLD,local_change,-0.038186890467647186,-0.06563682409146082,-0.012346996213680132,0.014252387132930096,local_change_processes,-2.132126095349572,-0.6550048406299098,7.3769001422e-3,2.2130700427e-1
