display_item,file,description,units,caption
Figure 1a,main/figures/Figure1a.csv,Pooled indicator correlation matrix,Pearson r,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 1b,main/figures/Figure1b.csv,Within- and between-process correlations by region,Pearson r,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 1c,main/figures/Figure1c.csv,Exact distributions over indicator-group assignments,Difference in mean absolute Pearson r,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 1c,main/figures/Figure1c_observed.csv,Observed grouping contrasts and exact tests,Difference in mean absolute Pearson r; P value,"Fig. 1 Correlations among behavioural indicators and comparisons of groupings. The analysis included 126,000 players, with 42,000 each on the North American (NA), Western European (EUW) and Korean (KR) servers and 20 matches per player. Each indicator was adjusted for sampling tier, team position, game patch and match duration, then averaged across each player’s 20 matches. a, Pearson correlations after removal of regional means. Circle area is proportional to |r|, and colour indicates the signed correlation coefficient; negative correlations are additionally outlined. Indicators 1–3 represent maintenance, 4–12 team signalling, 13–17 performance references and 18 the vision-score diagnostic. ‘Fewer deaths’ denotes the reverse-scored death indicator. b, Mean absolute Pearson correlations within maintenance (M), within signalling (S) and between M and S in each region. Each point summarizes 3, 36 or 27 indicator pairs, respectively. c, Comparison of the observed groupings with other possible groupings. The horizontal axis shows the difference between within-group and between-group mean absolute correlations, Δ, with equal weights assigned to all indicator pairs. Black diamonds indicate the observed groupings, and grey distributions show the results for all possible assignments that preserve the number of indicators in each group. The maintenance and signalling groups contain three and nine indicators, respectively, giving 220 possible assignments. The three functional signalling groups contain three, two and four indicators, giving 1,260 possible assignments. Each grey distribution is scaled to its maximum frequency. P values are from one-sided exact label-permutation tests, with Holm adjustment across the two tests."
Figure 2a,main/figures/Figure2a_density.csv,Overall-score density coordinates and histogram counts,Score units; players; inverse score units,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2a,main/figures/Figure2a_means.csv,Overall-score adjusted regional means,Overall score units,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2a,main/figures/Figure2a_quantiles.csv,Overall-score distribution summaries,Overall score units,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2b,main/figures/Figure2b.csv,Adjusted maintenance and signalling means,Full-sample standardized process score,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 2c,main/figures/Figure2c.csv,Adjusted means for nine ping indicators,Full-sample standardized indicator score,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
"Figure 2d,e",main/figures/Figure2de.csv,Ping occurrence and conditional frequency,Occurrence fraction; pings per player per 10 min,"Fig. 2 Regional patterns of overall information investment and individual pings. The sample included 126,000 players (42,000 per region), 2,519,994 player–match records and 2,240,349 unique matches. a, Player-level distributions of the overall score. Densities were estimated using all players and a common bandwidth. Boxes span the 25th–75th percentiles, central lines mark the 50th percentile and whiskers span the 5th–95th percentiles. Symbols show regional adjusted means with 95% confidence intervals. The displayed range includes 99.74%–99.83% of players in each region; full distributions are shown in Supplementary Fig. 2. b, Adjusted means and 95% confidence intervals for maintenance and signalling. c, Adjusted means and 95% confidence intervals for the nine ping types. In a–c, 95% confidence intervals for adjusted means were estimated from 1,000 player-level resamples stratified by region and tier. Estimates for each resample were calculated using a first-order approximation; see Methods for details. d, Proportion of player–match records in which each ping was used at least once. Circle area is proportional to this proportion, and numbers indicate percentages. e, Mean number of pings per 10 min among player–match records containing the corresponding ping, with 95% confidence intervals calculated using the delta method with clustering by player. Panels d and e show unadjusted occurrence proportions and conditional frequencies, respectively; panels c–e use the same ordering of ping types. NA, EUW and KR are shown in purple, grey and vermilion, respectively, with diamonds, squares and circles additionally distinguishing their point estimates. Some intervals are narrower than the symbols. The 12 comparisons involving the overall score and the two processes and the 27 comparisons of individual ping types were assessed using two-sided Wald tests, with Holm adjustment applied separately to each family (Table 1 and Supplementary Tables 4 and 6)."
Figure 3a,main/figures/Figure3a.csv,Maintenance means across sampling tiers,Full-sample standardized maintenance score,"Fig. 3 Regional distributions of information practices across tiers and team positions. a, b, Adjusted means for maintenance and signalling across seven sampling tiers, using scores standardized over the full sample and the same vertical-axis range. c–e, Context-adjusted means of raw frequencies for ‘Get back’, ‘Push’ and ‘All in’ pings, calculated over the full match and expressed as pings per player per 10 min. Vertical-axis ranges differ across panels. f, g, Adjusted means for maintenance and signalling across five team positions; vertical-axis ranges differ. The analysis included 2,519,994 player–match records from 126,000 players, covering 2,240,349 unique matches, with 6,000 players in each region × tier group. Tier-specific means assigned equal weights to the five positions, used the pooled patch distribution and fixed match duration at the pooled mean. Position-specific means instead assigned equal weights to the seven tiers, with the same patch and duration reference. Symbols indicate category means, and lines connect tier categories only. Shaded bands or error bars show pointwise 95% confidence intervals from 1,000 stratified player-cluster resamples using first-order updates; some intervals are narrower than the symbols. NA is represented by purple diamonds and solid lines, EUW by grey squares and dashed lines, and KR by vermilion circles and dash-dotted lines. Ir, Br, Si, Go, Pl, Em and Di denote Iron, Bronze, Silver, Gold, Platinum, Emerald and Diamond, respectively. Top, Jungle, Mid, Bot and Support denote top lane, jungle, mid lane, bottom lane and support. Tier endpoint and position comparisons are reported in Supplementary Tables 8, 9 and 11."
Figure 3b,main/figures/Figure3b.csv,Signalling means across sampling tiers,Full-sample standardized signalling score,"Fig. 3 Regional distributions of information practices across tiers and team positions. a, b, Adjusted means for maintenance and signalling across seven sampling tiers, using scores standardized over the full sample and the same vertical-axis range. c–e, Context-adjusted means of raw frequencies for ‘Get back’, ‘Push’ and ‘All in’ pings, calculated over the full match and expressed as pings per player per 10 min. Vertical-axis ranges differ across panels. f, g, Adjusted means for maintenance and signalling across five team positions; vertical-axis ranges differ. The analysis included 2,519,994 player–match records from 126,000 players, covering 2,240,349 unique matches, with 6,000 players in each region × tier group. Tier-specific means assigned equal weights to the five positions, used the pooled patch distribution and fixed match duration at the pooled mean. Position-specific means instead assigned equal weights to the seven tiers, with the same patch and duration reference. Symbols indicate category means, and lines connect tier categories only. Shaded bands or error bars show pointwise 95% confidence intervals from 1,000 stratified player-cluster resamples using first-order updates; some intervals are narrower than the symbols. NA is represented by purple diamonds and solid lines, EUW by grey squares and dashed lines, and KR by vermilion circles and dash-dotted lines. Ir, Br, Si, Go, Pl, Em and Di denote Iron, Bronze, Silver, Gold, Platinum, Emerald and Diamond, respectively. Top, Jungle, Mid, Bot and Support denote top lane, jungle, mid lane, bottom lane and support. Tier endpoint and position comparisons are reported in Supplementary Tables 8, 9 and 11."
Figure 3c,main/figures/Figure3c.csv,Get-back frequency across sampling tiers,Pings per player per 10 min,"Fig. 3 Regional distributions of information practices across tiers and team positions. a, b, Adjusted means for maintenance and signalling across seven sampling tiers, using scores standardized over the full sample and the same vertical-axis range. c–e, Context-adjusted means of raw frequencies for ‘Get back’, ‘Push’ and ‘All in’ pings, calculated over the full match and expressed as pings per player per 10 min. Vertical-axis ranges differ across panels. f, g, Adjusted means for maintenance and signalling across five team positions; vertical-axis ranges differ. The analysis included 2,519,994 player–match records from 126,000 players, covering 2,240,349 unique matches, with 6,000 players in each region × tier group. Tier-specific means assigned equal weights to the five positions, used the pooled patch distribution and fixed match duration at the pooled mean. Position-specific means instead assigned equal weights to the seven tiers, with the same patch and duration reference. Symbols indicate category means, and lines connect tier categories only. Shaded bands or error bars show pointwise 95% confidence intervals from 1,000 stratified player-cluster resamples using first-order updates; some intervals are narrower than the symbols. NA is represented by purple diamonds and solid lines, EUW by grey squares and dashed lines, and KR by vermilion circles and dash-dotted lines. Ir, Br, Si, Go, Pl, Em and Di denote Iron, Bronze, Silver, Gold, Platinum, Emerald and Diamond, respectively. Top, Jungle, Mid, Bot and Support denote top lane, jungle, mid lane, bottom lane and support. Tier endpoint and position comparisons are reported in Supplementary Tables 8, 9 and 11."
Figure 3d,main/figures/Figure3d.csv,Push frequency across sampling tiers,Pings per player per 10 min,"Fig. 3 Regional distributions of information practices across tiers and team positions. a, b, Adjusted means for maintenance and signalling across seven sampling tiers, using scores standardized over the full sample and the same vertical-axis range. c–e, Context-adjusted means of raw frequencies for ‘Get back’, ‘Push’ and ‘All in’ pings, calculated over the full match and expressed as pings per player per 10 min. Vertical-axis ranges differ across panels. f, g, Adjusted means for maintenance and signalling across five team positions; vertical-axis ranges differ. The analysis included 2,519,994 player–match records from 126,000 players, covering 2,240,349 unique matches, with 6,000 players in each region × tier group. Tier-specific means assigned equal weights to the five positions, used the pooled patch distribution and fixed match duration at the pooled mean. Position-specific means instead assigned equal weights to the seven tiers, with the same patch and duration reference. Symbols indicate category means, and lines connect tier categories only. Shaded bands or error bars show pointwise 95% confidence intervals from 1,000 stratified player-cluster resamples using first-order updates; some intervals are narrower than the symbols. NA is represented by purple diamonds and solid lines, EUW by grey squares and dashed lines, and KR by vermilion circles and dash-dotted lines. Ir, Br, Si, Go, Pl, Em and Di denote Iron, Bronze, Silver, Gold, Platinum, Emerald and Diamond, respectively. Top, Jungle, Mid, Bot and Support denote top lane, jungle, mid lane, bottom lane and support. Tier endpoint and position comparisons are reported in Supplementary Tables 8, 9 and 11."
Figure 3e,main/figures/Figure3e.csv,All-in frequency across sampling tiers,Pings per player per 10 min,"Fig. 3 Regional distributions of information practices across tiers and team positions. a, b, Adjusted means for maintenance and signalling across seven sampling tiers, using scores standardized over the full sample and the same vertical-axis range. c–e, Context-adjusted means of raw frequencies for ‘Get back’, ‘Push’ and ‘All in’ pings, calculated over the full match and expressed as pings per player per 10 min. Vertical-axis ranges differ across panels. f, g, Adjusted means for maintenance and signalling across five team positions; vertical-axis ranges differ. The analysis included 2,519,994 player–match records from 126,000 players, covering 2,240,349 unique matches, with 6,000 players in each region × tier group. Tier-specific means assigned equal weights to the five positions, used the pooled patch distribution and fixed match duration at the pooled mean. Position-specific means instead assigned equal weights to the seven tiers, with the same patch and duration reference. Symbols indicate category means, and lines connect tier categories only. Shaded bands or error bars show pointwise 95% confidence intervals from 1,000 stratified player-cluster resamples using first-order updates; some intervals are narrower than the symbols. NA is represented by purple diamonds and solid lines, EUW by grey squares and dashed lines, and KR by vermilion circles and dash-dotted lines. Ir, Br, Si, Go, Pl, Em and Di denote Iron, Bronze, Silver, Gold, Platinum, Emerald and Diamond, respectively. Top, Jungle, Mid, Bot and Support denote top lane, jungle, mid lane, bottom lane and support. Tier endpoint and position comparisons are reported in Supplementary Tables 8, 9 and 11."
Figure 3f,main/figures/Figure3f.csv,Maintenance means across positions,Full-sample standardized maintenance score,"Fig. 3 Regional distributions of information practices across tiers and team positions. a, b, Adjusted means for maintenance and signalling across seven sampling tiers, using scores standardized over the full sample and the same vertical-axis range. c–e, Context-adjusted means of raw frequencies for ‘Get back’, ‘Push’ and ‘All in’ pings, calculated over the full match and expressed as pings per player per 10 min. Vertical-axis ranges differ across panels. f, g, Adjusted means for maintenance and signalling across five team positions; vertical-axis ranges differ. The analysis included 2,519,994 player–match records from 126,000 players, covering 2,240,349 unique matches, with 6,000 players in each region × tier group. Tier-specific means assigned equal weights to the five positions, used the pooled patch distribution and fixed match duration at the pooled mean. Position-specific means instead assigned equal weights to the seven tiers, with the same patch and duration reference. Symbols indicate category means, and lines connect tier categories only. Shaded bands or error bars show pointwise 95% confidence intervals from 1,000 stratified player-cluster resamples using first-order updates; some intervals are narrower than the symbols. NA is represented by purple diamonds and solid lines, EUW by grey squares and dashed lines, and KR by vermilion circles and dash-dotted lines. Ir, Br, Si, Go, Pl, Em and Di denote Iron, Bronze, Silver, Gold, Platinum, Emerald and Diamond, respectively. Top, Jungle, Mid, Bot and Support denote top lane, jungle, mid lane, bottom lane and support. Tier endpoint and position comparisons are reported in Supplementary Tables 8, 9 and 11."
Figure 3g,main/figures/Figure3g.csv,Signalling means across positions,Full-sample standardized signalling score,"Fig. 3 Regional distributions of information practices across tiers and team positions. a, b, Adjusted means for maintenance and signalling across seven sampling tiers, using scores standardized over the full sample and the same vertical-axis range. c–e, Context-adjusted means of raw frequencies for ‘Get back’, ‘Push’ and ‘All in’ pings, calculated over the full match and expressed as pings per player per 10 min. Vertical-axis ranges differ across panels. f, g, Adjusted means for maintenance and signalling across five team positions; vertical-axis ranges differ. The analysis included 2,519,994 player–match records from 126,000 players, covering 2,240,349 unique matches, with 6,000 players in each region × tier group. Tier-specific means assigned equal weights to the five positions, used the pooled patch distribution and fixed match duration at the pooled mean. Position-specific means instead assigned equal weights to the seven tiers, with the same patch and duration reference. Symbols indicate category means, and lines connect tier categories only. Shaded bands or error bars show pointwise 95% confidence intervals from 1,000 stratified player-cluster resamples using first-order updates; some intervals are narrower than the symbols. NA is represented by purple diamonds and solid lines, EUW by grey squares and dashed lines, and KR by vermilion circles and dash-dotted lines. Ir, Br, Si, Go, Pl, Em and Di denote Iron, Bronze, Silver, Gold, Platinum, Emerald and Diamond, respectively. Top, Jungle, Mid, Bot and Support denote top lane, jungle, mid lane, bottom lane and support. Tier endpoint and position comparisons are reported in Supplementary Tables 8, 9 and 11."
Figure 4a,main/figures/Figure4a.csv,Minute-specific valid ward placements,Events per team per minute,"Fig. 4 Temporal trajectories of early maintenance and its association with subsequent objective acquisition. a–c, Mean frequencies of valid ward placement, valid ward clearing and control ward purchases, expressed as events per team per minute, in 2,221,452 unique matches (4,442,904 team records). Mean frequencies were calculated after standardizing the three regions to a common tier and patch distribution. The two teams in each match were averaged with equal weights. Lines connect the midpoints of fixed one-minute intervals without additional smoothing. The final interval ended at the match-specific cut-off, and its frequency was calculated using the actual interval duration. Shaded bands show pointwise 95% confidence intervals for mean behavioural frequencies under the common tier and patch reference, calculated from the joint covariance of match records within strata, with reference weights held fixed. d, Adjusted probability of blue-team acquisition of the first subsequent neutral objective, plotted against the early maintenance difference. The model included 2,210,921 matches; probabilities were standardized over a common reference sample of 2,208,868 matches. The horizontal axis shows the blue-minus-red maintenance score difference divided by the common SD; zero indicates equal maintenance scores for the two teams. Curves were estimated from a model including a region × maintenance interaction and adjusting for sampling tier, game patch and early game state, then standardized to a common reference distribution. Shaded bands show pointwise 95% confidence intervals calculated from the covariance of match-level estimating scores within strata. Symbols mark −1, 0 and +1 SD. Adjusted probability differences between −1 and +1 common SD are reported in the Results and Supplementary Table 14. The three strips below show observed match counts in 0.05-SD bins for NA, EUW and KR, respectively, using a common vertical-axis range and without contextual adjustment. Purple diamonds and solid lines, grey squares and dashed lines, and vermilion circles and dash-dotted lines represent NA, EUW and KR, respectively. Panels a–c use natural frequency units; d uses maintenance scores calculated with fixed scoring parameters. Holm adjustment was applied to the 90 minute-by-minute regional comparisons. Full comparisons and simultaneous confidence intervals are provided in Supplementary Fig. 4 and Supplementary Table 13b; region-specific associations are reported in Supplementary Table 14."
Figure 4b,main/figures/Figure4b.csv,Minute-specific valid ward clearing,Events per team per minute,"Fig. 4 Temporal trajectories of early maintenance and its association with subsequent objective acquisition. a–c, Mean frequencies of valid ward placement, valid ward clearing and control ward purchases, expressed as events per team per minute, in 2,221,452 unique matches (4,442,904 team records). Mean frequencies were calculated after standardizing the three regions to a common tier and patch distribution. The two teams in each match were averaged with equal weights. Lines connect the midpoints of fixed one-minute intervals without additional smoothing. The final interval ended at the match-specific cut-off, and its frequency was calculated using the actual interval duration. Shaded bands show pointwise 95% confidence intervals for mean behavioural frequencies under the common tier and patch reference, calculated from the joint covariance of match records within strata, with reference weights held fixed. d, Adjusted probability of blue-team acquisition of the first subsequent neutral objective, plotted against the early maintenance difference. The model included 2,210,921 matches; probabilities were standardized over a common reference sample of 2,208,868 matches. The horizontal axis shows the blue-minus-red maintenance score difference divided by the common SD; zero indicates equal maintenance scores for the two teams. Curves were estimated from a model including a region × maintenance interaction and adjusting for sampling tier, game patch and early game state, then standardized to a common reference distribution. Shaded bands show pointwise 95% confidence intervals calculated from the covariance of match-level estimating scores within strata. Symbols mark −1, 0 and +1 SD. Adjusted probability differences between −1 and +1 common SD are reported in the Results and Supplementary Table 14. The three strips below show observed match counts in 0.05-SD bins for NA, EUW and KR, respectively, using a common vertical-axis range and without contextual adjustment. Purple diamonds and solid lines, grey squares and dashed lines, and vermilion circles and dash-dotted lines represent NA, EUW and KR, respectively. Panels a–c use natural frequency units; d uses maintenance scores calculated with fixed scoring parameters. Holm adjustment was applied to the 90 minute-by-minute regional comparisons. Full comparisons and simultaneous confidence intervals are provided in Supplementary Fig. 4 and Supplementary Table 13b; region-specific associations are reported in Supplementary Table 14."
Figure 4c,main/figures/Figure4c.csv,Minute-specific control ward purchases,Events per team per minute,"Fig. 4 Temporal trajectories of early maintenance and its association with subsequent objective acquisition. a–c, Mean frequencies of valid ward placement, valid ward clearing and control ward purchases, expressed as events per team per minute, in 2,221,452 unique matches (4,442,904 team records). Mean frequencies were calculated after standardizing the three regions to a common tier and patch distribution. The two teams in each match were averaged with equal weights. Lines connect the midpoints of fixed one-minute intervals without additional smoothing. The final interval ended at the match-specific cut-off, and its frequency was calculated using the actual interval duration. Shaded bands show pointwise 95% confidence intervals for mean behavioural frequencies under the common tier and patch reference, calculated from the joint covariance of match records within strata, with reference weights held fixed. d, Adjusted probability of blue-team acquisition of the first subsequent neutral objective, plotted against the early maintenance difference. The model included 2,210,921 matches; probabilities were standardized over a common reference sample of 2,208,868 matches. The horizontal axis shows the blue-minus-red maintenance score difference divided by the common SD; zero indicates equal maintenance scores for the two teams. Curves were estimated from a model including a region × maintenance interaction and adjusting for sampling tier, game patch and early game state, then standardized to a common reference distribution. Shaded bands show pointwise 95% confidence intervals calculated from the covariance of match-level estimating scores within strata. Symbols mark −1, 0 and +1 SD. Adjusted probability differences between −1 and +1 common SD are reported in the Results and Supplementary Table 14. The three strips below show observed match counts in 0.05-SD bins for NA, EUW and KR, respectively, using a common vertical-axis range and without contextual adjustment. Purple diamonds and solid lines, grey squares and dashed lines, and vermilion circles and dash-dotted lines represent NA, EUW and KR, respectively. Panels a–c use natural frequency units; d uses maintenance scores calculated with fixed scoring parameters. Holm adjustment was applied to the 90 minute-by-minute regional comparisons. Full comparisons and simultaneous confidence intervals are provided in Supplementary Fig. 4 and Supplementary Table 13b; region-specific associations are reported in Supplementary Table 14."
