matrix,relationship,n_pairs,mean_r,mean_abs_r,median_r,min_r,max_r,n_negative
player_NA_Pearson,within_M,3,0.3794860115830505,0.3794860115830505,0.4625627299212523,0.20398623840950186,0.4719090664183974,0
player_NA_Pearson,within_S,36,0.2806553564121594,0.2806553564121594,0.28046222441726565,0.045693747471832635,0.5545564834729967,0
player_NA_Pearson,between_M_S,27,0.07890128103855923,0.07955490842115029,0.06847739573139734,-0.008823969664979229,0.2205666386455747,1
player_EUW_Pearson,within_M,3,0.41039679360818077,0.41039679360818077,0.4847418879008412,0.23879910690953093,0.5076493860141703,0
player_EUW_Pearson,within_S,36,0.28154137743298824,0.28154137743298824,0.27721041300821847,0.01661401492062629,0.5754921702929465,0
player_EUW_Pearson,between_M_S,27,0.08567570050698937,0.08567570050698937,0.07674183660489692,0.0022123336594091565,0.19294001861724283,0
player_KR_Pearson,within_M,3,0.41934133386307865,0.41934133386307865,0.4647744952281187,0.24080053797057807,0.552448968390539,0
player_KR_Pearson,within_S,36,0.2488040316889238,0.25089049841542316,0.24110708433325417,-0.03522971454194786,0.6272306036868772,2
player_KR_Pearson,between_M_S,27,0.07638067718854351,0.0824597808096618,0.07413663672060013,-0.05177766676143224,0.19107413391273756,3
