region,measure,score,count,density,bandwidth,bin_width
NA,overall,-1.4462185987306073,1,0.001192308381903407,0.05591942132945575,0.0030195053268233796
NA,overall,-1.443199093403784,0,0.001257065114488278,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4401795880769606,0,0.0013226799048334235,0.05591942132945575,0.0030195053268233796
NA,overall,-1.437160082750137,0,0.0013891096035731929,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4341405774233134,0,0.0014559352385623133,0.05591942132945575,0.0030195053268233796
NA,overall,-1.43112107209649,0,0.0015228556703178635,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4281015667696666,0,0.0015897789032933987,0.05591942132945575,0.0030195053268233796
NA,overall,-1.425082061442843,0,0.0016563550012076672,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4220625561160196,0,0.001722555104738866,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4190430507891962,0,0.0017878246798723046,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4160235454623726,0,0.001852118731340214,0.05591942132945575,0.0030195053268233796
NA,overall,-1.413004040135549,0,0.001915099705603816,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4099845348087257,1,0.0019768215975163985,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4069650294819023,0,0.00203666557344924,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4039455241550787,0,0.0020947424827144523,0.05591942132945575,0.0030195053268233796
NA,overall,-1.4009260188282553,1,0.002150734949389335,0.05591942132945575,0.0030195053268233796
NA,overall,-1.397906513501432,0,0.0022044873065090384,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3948870081746083,0,0.0022559839746726785,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3918675028477847,1,0.002305321263537786,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3888479975209613,1,0.002352149469388311,0.05591942132945575,0.0030195053268233796
NA,overall,-1.385828492194138,1,0.00239642905691495,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3828089868673143,0,0.0024383255388533633,0.05591942132945575,0.0030195053268233796
NA,overall,-1.379789481540491,1,0.002478077457107438,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3767699762136676,1,0.002515367745168003,0.05591942132945575,0.0030195053268233796
NA,overall,-1.373750470886844,0,0.0025506301401424006,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3707309655600204,0,0.002583714225950452,0.05591942132945575,0.0030195053268233796
NA,overall,-1.367711460233197,0,0.0026150677652339873,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3646919549063736,2,0.0026450595909250684,0.05591942132945575,0.0030195053268233796
NA,overall,-1.36167244957955,1,0.0026736018662573183,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3586529442527266,1,0.0027013049228193455,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3556334389259033,0,0.002728534230299824,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3526139335990797,0,0.0027554565119863985,0.05591942132945575,0.0030195053268233796
NA,overall,-1.349594428272256,0,0.0027825038220180903,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3465749229454327,0,0.002810138642614248,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3435554176186093,0,0.0028387943212994757,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3405359122917857,2,0.002869033692867527,0.05591942132945575,0.0030195053268233796
NA,overall,-1.337516406964962,0,0.0029011670551335393,0.05591942132945575,0.0030195053268233796
NA,overall,-1.334496901638139,0,0.0029356484647680174,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3314773963113153,0,0.0029731630972764994,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3284578909844917,0,0.0030138667444169717,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3254383856576684,0,0.003058413934919072,0.05591942132945575,0.0030195053268233796
NA,overall,-1.322418880330845,0,0.003107322618882761,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3193993750040214,0,0.0031608235983881156,0.05591942132945575,0.0030195053268233796
NA,overall,-1.316379869677198,0,0.003219486773513187,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3133603643503746,0,0.003283492554459422,0.05591942132945575,0.0030195053268233796
NA,overall,-1.310340859023551,0,0.0033534673123713898,0.05591942132945575,0.0030195053268233796
NA,overall,-1.3073213536967274,1,0.003429724530166269,0.05591942132945575,0.0030195053268233796
NA,overall,-1.304301848369904,0,0.003512598567498072,0.05591942132945575,0.0030195053268233796
