region,metric,prevalence,prevalence_ci_low,prevalence_ci_high,conditional_mean_per_10_min,conditional_ci_low,conditional_ci_high,marginal_mean_per_10_min,marginal_ci_low,marginal_ci_high,n_players,n_records,n_active_records,interval_method
NA,enemy_missing_pings_pm,0.7132457458232043,0.7105329622303255,0.7159585294160832,1.9372627919864605,1.9232490929412196,1.9512764910317013,1.3817444449259262,1.369046859044306,1.3944420308075465,42000,839998,599125,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,enemy_vision_pings_pm,0.45500703573103746,0.45158083509400465,0.45843323636807026,1.4221552658626229,1.4066287923393888,1.437681739385857,0.6470906518694376,0.637424103618012,0.6567572001208631,42000,839998,382205,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,command_pings_pm,0.6832813887652114,0.6802632194345452,0.6862995580958776,1.958798226850436,1.9422981349017454,1.9752983187991267,1.3384103727531995,1.3243151587997057,1.3525055867066933,42000,839998,573955,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,need_vision_pings_pm,0.13580865668727782,0.13423588795764188,0.13738142541691375,0.5919734792862462,0.5824976279911938,0.6014493305812987,0.08039512301635919,0.07859519327816634,0.08219505275455204,42000,839998,114079,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,assist_me_pings_pm,0.4968249924404582,0.49392504170348617,0.4997249431774302,1.5302630988179613,1.5160729045112717,1.5444532931246509,0.7602729525021458,0.7507625639139666,0.769783341090325,42000,839998,417332,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,on_my_way_pings_pm,0.7537148897973567,0.7508859840500742,0.7565437955446391,3.0379322418271286,3.0093887274023228,3.0664757562519345,2.2897347648605706,2.264662451243074,2.314807078478067,42000,839998,633119,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,push_pings_pm,0.12040147714637416,0.11889054058127672,0.12191241371147159,0.6109021820424961,0.6009394431712394,0.6208649209137529,0.0735535251098597,0.07181413456624147,0.07529291565347793,42000,839998,101137,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,all_in_pings_pm,0.16624087200207618,0.16422820950967776,0.1682535344944746,0.870510916073251,0.8523796472913558,0.8886421848551462,0.14471449377534343,0.14069885240999014,0.14873013514069672,42000,839998,139642,Player-cluster ratio delta-method normal 95% CI; unadjusted
NA,get_back_pings_pm,0.28470186833778177,0.2813696998503699,0.28803403682519363,1.631437483478921,1.6123731417686185,1.6505018251892234,0.46447329962273776,0.4559545356122918,0.4729920636331837,42000,839998,239149,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,enemy_missing_pings_pm,0.7349546902604298,0.7323541067699894,0.7375552737508703,1.9685184041176955,1.9551755469583956,1.9818612612769955,1.4467718339702764,1.434321922483467,1.459221745457086,42000,839996,617359,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,enemy_vision_pings_pm,0.4601724293925209,0.45677887579701937,0.46356598298802243,1.5668756491371354,1.549395121032133,1.5843561772421377,0.7210329740194188,0.7101674263107347,0.7318985217281029,42000,839996,386543,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,command_pings_pm,0.7221022481059434,0.7191362920141741,0.7250682041977127,2.0976617204067076,2.081513038597857,2.113810402215558,1.5147262440714644,1.500101022716937,1.5293514654259919,42000,839996,606563,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,need_vision_pings_pm,0.15563883637541132,0.15395810742220864,0.157319565328614,0.606993645654279,0.5986561372666125,0.6153311540419456,0.09447178469690072,0.09256528013710509,0.09637828925669635,42000,839996,130736,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,assist_me_pings_pm,0.5631753008347659,0.5603196000085066,0.5660310016610252,1.6438839126177225,1.6297763938355176,1.6579914313999273,0.9257948170259178,0.9152717580040525,0.9363178760477832,42000,839996,473065,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,on_my_way_pings_pm,0.7875335120643432,0.7849244955669249,0.7901425285617615,3.0983696184978244,3.0703146326457653,3.1264246043498836,2.440069907329051,2.41467280499695,2.4654670096611517,42000,839996,661525,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,push_pings_pm,0.15135786360887432,0.14967535612419622,0.15304037109355242,0.6648023827219738,0.6536922337579675,0.6759125316859801,0.10062306837088718,0.09833388857528214,0.10291224816649222,42000,839996,127140,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,all_in_pings_pm,0.196815222929633,0.19466420278561916,0.19896624307364683,0.8551856592715203,0.8384687127214746,0.8719026058215661,0.16831355617574945,0.1640018651178435,0.17262524723365538,42000,839996,165324,Player-cluster ratio delta-method normal 95% CI; unadjusted
EUW,get_back_pings_pm,0.29802046676412747,0.29466354558564933,0.3013773879426056,1.638263439649174,1.6187616834106509,1.657765195887697,0.48823603496685175,0.47932138115538014,0.49715068877832336,42000,839996,250336,Player-cluster ratio delta-method normal 95% CI; unadjusted
KR,enemy_missing_pings_pm,0.7875964285714285,0.7854084345459612,0.7897844225968959,2.1150216251500566,2.1012794253625913,2.128763824937522,1.6657834783195236,1.6526244746779426,1.6789424819611045,42000,840000,661581,Player-cluster ratio delta-method normal 95% CI; unadjusted
KR,enemy_vision_pings_pm,0.47890119047619045,0.4754361529054285,0.4823662280469524,1.5433964294205123,1.5280468195054773,1.5587460393355472,0.739134387426185,0.7287773171454448,0.7494914577069252,42000,840000,402277,Player-cluster ratio delta-method normal 95% CI; unadjusted
