region,display_region,maintenance_difference_sd,model_predictor_z,probability,ci_low,ci_high,se,n_model_matches,n_reference_matches,method,specification
NA1,NA,-0.5499999999999998,-0.5076089465939223,0.4805955950589512,0.4793656489675256,0.48182554115037685,0.0006275235160334853,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.5,-0.4576089465939225,0.48154226085605734,0.4803354801361525,0.48274904157596216,0.0006157044489310224,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.44999999999999996,-0.40760894659392244,0.48248904544422994,0.4813034422110652,0.4836746486773947,0.0006048996087575113,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.3999999999999999,-0.3576089465939224,0.48343594264306833,0.4822694180589702,0.48460246722716643,0.0005951656041316867,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.34999999999999987,-0.30760894659392235,0.4843829462696119,0.4832332944766838,0.48553259806254007,0.0005865570372082434,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.2999999999999998,-0.2576089465939223,0.4853300501385023,0.48419496454958844,0.4864651357274161,0.000579125300466248,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.25,-0.20760894659392248,0.4862772480621191,0.4851543301456562,0.487400165978582,0.0005729173043178162,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.19999999999999996,-0.15760894659392244,0.48722453385071324,0.4861113044301685,0.488337763271258,0.0005679741941554969,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.1499999999999999,-0.10760894659392241,0.48817190131256744,0.48706581426155754,0.48927798836357733,0.0005643301280662819,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.09999999999999987,-0.057608946593922364,0.48911934425412457,0.48801780231701375,0.4902208861912354,0.0005620111924034804,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,-0.04999999999999982,-0.007608946593922319,0.49006685648013665,0.48896722879877186,0.49116648416150144,0.0005610345313085581,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.0,0.0423910534060775,0.4910144317938156,0.48991407259198494,0.49211479099564626,0.0005614077560360584,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.050000000000000266,0.09239105340607777,0.4919620639969587,0.49085833178237265,0.4930657962115447,0.0005631286809112407,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.10000000000000009,0.1423910534060776,0.492909746890114,0.4918000234915618,0.4940194702886662,0.0005661854074245774,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.1499999999999999,0.19239105340607743,0.493857474272711,0.49273918304374914,0.4949757655016728,0.0005705567494703149,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
NA1,NA,0.20000000000000018,0.2423910534060777,0.49480523994320014,0.4936758625314895,0.4959346173549108,0.0005762129651584946,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
