region,measure,n_players,mean,sd,min,q001,q005,q01,q025,q05,q10,q25,median,q75,q90,q95,q975,q99,q995,q999,max
NA,overall,42000,-0.12731985225472198,0.4357144156674986,-1.4477283413940192,-1.1867793577619399,-1.0116404129456913,-0.9240353226845391,-0.8123169656761715,-0.7181448404939733,-0.6062179402988375,-0.4217885345565696,-0.18841375350815132,0.09345111275995183,0.4310651974294724,0.6836863493866817,0.9249934564437351,1.2442820821543208,1.4702739966279106,1.9594365272443526,2.8917463138307506
EUW,overall,42000,-0.045953782364899894,0.467238754601772,-1.3703460905170006,-1.176158560873223,-0.9949856039062884,-0.8997094290582327,-0.7719725106312049,-0.6710233612902636,-0.5602251027308398,-0.36524738341983,-0.11410716402521937,0.19914567588449228,0.5577413373291206,0.8179456490726894,1.0735793830713778,1.4012419913290612,1.6397244686202566,2.215911396227522,3.27281668402747
KR,overall,42000,0.17957120691558182,0.4520459772379653,-1.382936978662999,-0.9394921693391,-0.7166693787766751,-0.6383949530347399,-0.5305535072327912,-0.43938520899380545,-0.3300978558963901,-0.13382203490311706,0.11624136055881461,0.4256254461838157,0.7706287996422184,1.009788442213462,1.2505262495657083,1.5190883518433473,1.7384379545834097,2.268062459076508,3.3834801615235417
