region,measure,estimate,ci_low,ci_high,n_players,n_records,distribution_mean
NA,maintenance,-0.1384552679182404,-0.142415099104016,-0.1349934383268208,42000,839998,-0.138456167980894
NA,signalling,-0.116182404336382,-0.1224362498362256,-0.1094619057926814,42000,839998,-0.1161835365285499
EUW,maintenance,-0.0995716337081891,-0.1033456702246011,-0.0956812828365478,42000,839996,-0.0995725734317798
EUW,signalling,0.0076654818800776,5.482345820665299e-05,0.0148142943972148,42000,839996,0.00766500870198
KR,maintenance,0.2320472868245576,0.227672089707644,0.2359527453284101,42000,840000,0.2320472868245899
KR,signalling,0.1270951270065833,0.1204139996781798,0.1339344161542839,42000,840000,0.1270951270065737
