region,left,right,mid,count,fraction_of_region,n_matches
NA1,-2.0,-1.95,-1.975,2427,0.0034590191037050127,701644
NA1,-1.95,-1.9,-1.9249999999999998,2818,0.004016281761121025,701644
NA1,-1.9,-1.85,-1.875,2919,0.004160229404085262,701644
NA1,-1.85,-1.8,-1.8250000000000002,3137,0.004470928277017975,701644
NA1,-1.8,-1.75,-1.775,3387,0.004827234323959159,701644
NA1,-1.75,-1.7,-1.725,3968,0.00565528957705047,701644
NA1,-1.7,-1.65,-1.6749999999999998,3465,0.004938401810604808,701644
NA1,-1.65,-1.6,-1.625,4523,0.0064462890012598984,701644
NA1,-1.6,-1.55,-1.5750000000000002,4378,0.0062396314940340114,701644
NA1,-1.55,-1.5,-1.525,4766,0.006792618478886729,701644
NA1,-1.5,-1.45,-1.475,6017,0.008575573937780414,701644
NA1,-1.45,-1.4,-1.4249999999999998,5153,0.007344180239551681,701644
NA1,-1.4,-1.35,-1.375,5210,0.007425418018254272,701644
NA1,-1.35,-1.2999999999999998,-1.325,6918,0.00985970093095644,701644
NA1,-1.2999999999999998,-1.25,-1.275,6526,0.009301013049352663,701644
NA1,-1.25,-1.2,-1.225,7060,0.010062082765619032,701644
NA1,-1.2,-1.15,-1.1749999999999998,6984,0.009953765727348912,701644
NA1,-1.15,-1.1,-1.125,8245,0.011750973428120244,701644
NA1,-1.1,-1.0499999999999998,-1.075,8442,0.012031742593109896,701644
NA1,-1.0499999999999998,-1.0,-1.025,8677,0.012366670277234608,701644
NA1,-1.0,-0.95,-0.975,8295,0.011822234637508481,701644
NA1,-0.95,-0.8999999999999999,-0.9249999999999999,9797,0.013962921367531113,701644
NA1,-0.8999999999999999,-0.8499999999999999,-0.8749999999999999,10677,0.01521711865276408,701644
NA1,-0.8499999999999999,-0.7999999999999998,-0.8249999999999998,9078,0.012938185176528267,701644
NA1,-0.7999999999999998,-0.75,-0.7749999999999999,9694,0.013816123276191345,701644
NA1,-0.75,-0.7,-0.725,13548,0.019308937295836635,701644
NA1,-0.7,-0.6499999999999999,-0.6749999999999999,9838,0.014021355559229468,701644
NA1,-0.6499999999999999,-0.5999999999999999,-0.6249999999999999,9909,0.014122546476560763,701644
NA1,-0.5999999999999999,-0.5499999999999998,-0.5749999999999998,15358,0.021888593075690806,701644
NA1,-0.5499999999999998,-0.5,-0.5249999999999999,9840,0.014024206007604996,701644
NA1,-0.5,-0.44999999999999996,-0.475,11909,0.016972994852090233,701644
NA1,-0.44999999999999996,-0.3999999999999999,-0.42499999999999993,13178,0.018781604346363685,701644
NA1,-0.3999999999999999,-0.34999999999999987,-0.3749999999999999,11923,0.01699294799071894,701644
NA1,-0.34999999999999987,-0.2999999999999998,-0.32499999999999984,14349,0.020450541870236188,701644
NA1,-0.2999999999999998,-0.25,-0.2749999999999999,12045,0.017166825341626238,701644
NA1,-0.25,-0.19999999999999996,-0.22499999999999998,12450,0.017744041137670957,701644
NA1,-0.19999999999999996,-0.1499999999999999,-0.17499999999999993,16179,0.023058702133845654,701644
NA1,-0.1499999999999999,-0.09999999999999987,-0.12499999999999989,13166,0.018764501656110506,701644
NA1,-0.09999999999999987,-0.04999999999999982,-0.07499999999999984,10887,0.015516415732194673,701644
NA1,-0.04999999999999982,0.0,-0.02499999999999991,12700,0.01810034718461214,701644
NA1,0.0,0.050000000000000266,0.025000000000000133,17597,0.02507967003209605,701644
