region,metric,estimate,ci_low,ci_high,n_players,n_records,player_mean,player_sd
NA,enemy_missing_pings_pm,-0.06957264274413909,-0.07595951350298295,-0.06356480809749943,42000,839998,-0.06957357784208106,0.6573279373094166
NA,enemy_vision_pings_pm,-0.045372765713320384,-0.05207864739700717,-0.03917293352643921,42000,839998,-0.04537332955716282,0.7018003420504823
NA,command_pings_pm,-0.14877551050123472,-0.1553145077475302,-0.14249645551794984,42000,839998,-0.14877515726048576,0.6808018610629936
NA,need_vision_pings_pm,-0.029986625011267774,-0.034791217584968955,-0.02488179838634046,42000,839998,-0.029987639276460924,0.5001517151607449
NA,assist_me_pings_pm,-0.08046339870078273,-0.08614875023778788,-0.07443154645439366,42000,839998,-0.08046463398750588,0.6283527788366425
NA,on_my_way_pings_pm,-0.07056822886133836,-0.07686741938772111,-0.063855165925723,42000,839998,-0.07056969048995326,0.6773528358845357
NA,push_pings_pm,0.011724854689708918,0.006742104132856894,0.017219137478787023,42000,839998,0.011724154920796316,0.5608500992086286
NA,all_in_pings_pm,0.008105702878161342,0.0009380957606965398,0.014780320321134494,42000,839998,0.008104867147328587,0.7083850300629326
NA,get_back_pings_pm,-0.13026506250204653,-0.13659041345619308,-0.12408834800823643,42000,839998,-0.13026376348447113,0.6554458303283626
EUW,enemy_missing_pings_pm,-0.02597602840990146,-0.03251670171812571,-0.01966134648651108,42000,839996,-0.025977386012150862,0.6596535304240381
EUW,enemy_vision_pings_pm,-0.004045452913340147,-0.0112158634208305,0.002757354617464926,42000,839996,-0.004046030640892574,0.7601490441969851
EUW,command_pings_pm,-0.05495116132903485,-0.06115862208902516,-0.048030491392116466,42000,839996,-0.054948002371787666,0.7117772461295981
EUW,need_vision_pings_pm,0.020247904998637458,0.01474795903053155,0.02546017208654802,42000,839996,0.02024709158887291,0.550282233283278
EUW,assist_me_pings_pm,0.04149027172783283,0.03520102842636638,0.048123556783597914,42000,839996,0.041489539744992435,0.6897038404583352
EUW,on_my_way_pings_pm,-0.0111737718182321,-0.017641356306758362,-0.004710031702136153,42000,839996,-0.011173912858972958,0.6944476618717239
EUW,push_pings_pm,0.10496981451316746,0.09880180521732247,0.11103842361789912,42000,839996,0.10496912603276955,0.6485659754251235
EUW,all_in_pings_pm,0.06924216370008843,0.06223170897024406,0.07662974605298058,42000,839996,0.06924228628532388,0.7631754224411759
EUW,get_back_pings_pm,-0.10910671745810649,-0.11563379885789615,-0.10293884163689586,42000,839996,-0.10910788799642575,0.68107259309941
KR,enemy_missing_pings_pm,0.0877045860414849,0.0806317290944425,0.09431661817300976,42000,840000,0.08770458604144832,0.7035194533892314
KR,enemy_vision_pings_pm,0.053469963695040645,0.045311846113333276,0.061750613761436354,42000,840000,0.05346996369500288,0.808296415224924
KR,command_pings_pm,0.21365242749333163,0.20591626866547905,0.22095676730866506,42000,840000,0.21365242749335886,0.8318871379394562
KR,need_vision_pings_pm,0.02432507519918524,0.019216058893612237,0.02968324025337034,42000,840000,0.024325075199179442,0.5396923519361267
KR,assist_me_pings_pm,0.05380097414358717,0.04797750389237868,0.059878079071639737,42000,840000,0.053800974143597725,0.6301268979490172
KR,on_my_way_pings_pm,0.11025528133327378,0.10340295936664219,0.11677487707473254,42000,840000,0.11025528133311893,0.7123362511358634
KR,push_pings_pm,-0.10936128137193335,-0.11254760383602415,-0.10623125702762698,42000,840000,-0.10936128137195308,0.3327566386014968
KR,all_in_pings_pm,-0.06683311469000974,-0.07171193251577124,-0.06211488229285329,42000,840000,-0.06683311469004663,0.49897994819791164
KR,get_back_pings_pm,0.24832840073400544,0.24006939432956353,0.25657934910802815,42000,840000,0.24832840073394818,0.8467020763858427
