metric,wards_placed_pm,wards_killed_pm,control_wards_bought_pm,enemy_missing_pings_pm,enemy_vision_pings_pm,command_pings_pm,need_vision_pings_pm,assist_me_pings_pm,on_my_way_pings_pm,push_pings_pm,all_in_pings_pm,get_back_pings_pm,assists_pm,kills_pm,deaths_pm,gold_earned_pm,total_damage_dealt_pm,vision_score_pm
wards_placed_pm,1.0,0.2275586650255113,0.4981769535311279,0.151984502863904,0.14367523296044848,0.14062525947186244,0.09165221555790806,0.08050106152406727,0.064061251357376,0.048878056610373546,0.04293735305474644,0.06733160590925354,0.19010688669694123,-0.09565384882795974,0.060362366762119424,-0.07129232460718209,-0.09968510749095497,0.8242966369511272
wards_killed_pm,0.2275586650255113,1.0,0.4800930838880036,0.0698878227373116,0.2004163219332569,0.1311991144557474,0.019866404306048614,0.020335525403381134,0.04923415485133713,0.0024123570244058436,-0.007717201994123197,0.05851434881264165,0.13024991618100315,0.0012878816983252239,0.10413461124491127,0.044787720390840335,-0.04857073771771858,0.5792427937389735
control_wards_bought_pm,0.4981769535311279,0.4800930838880036,1.0,0.12255185723935498,0.14596223263507543,0.14620915306938723,0.05619299270483414,0.0749443771472224,0.11133531881028282,0.03394087980530114,0.02033865302874358,0.0994182080357812,0.20182935925061576,-0.1274942463118747,0.1127802088273821,-0.1118359094892369,-0.18490521419763767,0.5965367719084064
enemy_missing_pings_pm,0.151984502863904,0.0698878227373116,0.12255185723935498,1.0,0.25471162066875813,0.32578979078247455,0.3478440097342737,0.4414168260816522,0.43910744681775504,0.2659672698852313,0.24532402662125583,0.24826360624381194,0.02635920881428271,0.020759924523178368,0.05792029449019274,0.028267532441597017,0.014001027041834202,0.16128299106659783
enemy_vision_pings_pm,0.14367523296044848,0.2004163219332569,0.14596223263507543,0.25471162066875813,1.0,0.004210595907391171,0.12253574775203299,0.12939219198470617,0.15298763912345284,0.1370537998117539,0.12200423125640569,0.15014442133396944,0.026943031716926438,0.006342904128795972,0.00686842132507059,0.02714010446694863,-0.005491460934479249,0.192881191458415
command_pings_pm,0.14062525947186244,0.1311991144557474,0.14620915306938723,0.32578979078247455,0.004210595907391171,1.0,0.24317995272096288,0.36876023221733956,0.38634125971055655,0.2316934797672704,0.22838601347261736,0.11411066333239327,0.09594315853813573,0.06655432155168575,-0.011562404297166245,0.08223032832353538,0.045955888363926986,0.16569513407186562
need_vision_pings_pm,0.09165221555790806,0.019866404306048614,0.05619299270483414,0.3478440097342737,0.12253574775203299,0.24317995272096288,1.0,0.4490667084636478,0.333777908461717,0.32061459326830116,0.30150331930976626,0.2180021196264867,0.024771275209986517,0.0344242207473463,0.0048097166071220275,0.033238125532198425,0.024927933105578264,0.09528654429480643
assist_me_pings_pm,0.08050106152406727,0.020335525403381134,0.0749443771472224,0.4414168260816522,0.12939219198470617,0.36876023221733956,0.4490667084636478,1.0,0.5853845849880335,0.3137863309219123,0.35884121530654817,0.2580469730497366,0.05725674071679489,0.09277083554952173,-0.027687396175750206,0.08954377817729546,0.05915719636128052,0.07542275140452974
on_my_way_pings_pm,0.064061251357376,0.04923415485133713,0.11133531881028282,0.43910744681775504,0.15298763912345284,0.38634125971055655,0.333777908461717,0.5853845849880335,1.0,0.37138174516716405,0.340032206676149,0.29195008142281836,0.11282683796108567,0.15029142325938202,-0.0020435427894513326,0.13043011543259286,0.05834492353154322,0.09041286129456551
push_pings_pm,0.048878056610373546,0.0024123570244058436,0.03394087980530114,0.2659672698852313,0.1370537998117539,0.2316934797672704,0.32061459326830116,0.3137863309219123,0.37138174516716405,1.0,0.326409869982013,0.11871472642898777,0.03018293600638703,0.03470017203551098,0.005979796925458371,0.03932216661202289,0.023312643490260257,0.04075446582580944
all_in_pings_pm,0.04293735305474644,-0.007717201994123197,0.02033865302874358,0.24532402662125583,0.12200423125640569,0.22838601347261736,0.30150331930976626,0.35884121530654817,0.340032206676149,0.326409869982013,1.0,0.16470720150524995,0.029014435493076994,0.07056475412132954,-0.052779191934177516,0.06331987944081993,0.043538657162615,0.031980549766758244
get_back_pings_pm,0.06733160590925354,0.05851434881264165,0.0994182080357812,0.24826360624381194,0.15014442133396944,0.11411066333239327,0.2180021196264867,0.2580469730497366,0.29195008142281836,0.11871472642898777,0.16470720150524995,1.0,0.04493876987701155,0.0012835457170557037,0.07747468051945904,0.009819282317928248,0.005110437087444672,0.09287019327845711
assists_pm,0.19010688669694123,0.13024991618100315,0.20182935925061576,0.02635920881428271,0.026943031716926438,0.09594315853813573,0.024771275209986517,0.05725674071679489,0.11282683796108567,0.03018293600638703,0.029014435493076994,0.04493876987701155,1.0,-0.11581813100259504,0.12082266555323401,-0.07916778982700906,-0.2528406010803971,0.21059298511244096
kills_pm,-0.09565384882795974,0.0012878816983252239,-0.1274942463118747,0.020759924523178368,0.006342904128795972,0.06655432155168575,0.0344242207473463,0.09277083554952173,0.15029142325938202,0.03470017203551098,0.07056475412132954,0.0012835457170557037,-0.11581813100259504,1.0,-0.0521302704842992,0.8155538607360062,0.467847411568092,-0.05320393107982067
deaths_pm,0.060362366762119424,0.10413461124491127,0.1127802088273821,0.05792029449019274,0.00686842132507059,-0.011562404297166245,0.0048097166071220275,-0.027687396175750206,-0.0020435427894513326,0.005979796925458371,-0.052779191934177516,0.07747468051945904,0.12082266555323401,-0.0521302704842992,1.0,0.08212219264897783,0.039193209379741516,0.12884414317351844
gold_earned_pm,-0.07129232460718209,0.044787720390840335,-0.1118359094892369,0.028267532441597017,0.02714010446694863,0.08223032832353538,0.033238125532198425,0.08954377817729546,0.13043011543259286,0.03932216661202289,0.06331987944081993,0.009819282317928248,-0.07916778982700906,0.8155538607360062,0.08212219264897783,1.0,0.7235189976601875,-0.007762284032068542
total_damage_dealt_pm,-0.09968510749095497,-0.04857073771771858,-0.18490521419763767,0.014001027041834202,-0.005491460934479249,0.045955888363926986,0.024927933105578264,0.05915719636128052,0.05834492353154322,0.023312643490260257,0.043538657162615,0.005110437087444672,-0.2528406010803971,0.467847411568092,0.039193209379741516,0.7235189976601875,1.0,-0.04864500961770404
vision_score_pm,0.8242966369511272,0.5792427937389735,0.5965367719084064,0.16128299106659783,0.192881191458415,0.16569513407186562,0.09528654429480643,0.07542275140452974,0.09041286129456551,0.04075446582580944,0.031980549766758244,0.09287019327845711,0.21059298511244096,-0.05320393107982067,0.12884414317351844,-0.007762284032068542,-0.04864500961770404,1.0
