region,display_region,p_at_minus1,p_at_plus1,probability_difference,ci_low,ci_high,se,p_value,contrast,n_matches,specification
NA1,NA,0.4720819668037157,0.5099696358269005,0.037887669023184745,0.035728933312456114,0.040046404733913375,0.0011013957707799128,2.5488638808e-259,+1 versus -1 common SD of uncentred blue-minus-red maintenance,701644,linear_logit
EUW1,EUW,0.46868637075124087,0.5091989107458001,0.04051253999455928,0.03840064370854358,0.04262443628057498,0.0010774981051100503,2.2564375126e-309,+1 versus -1 common SD of uncentred blue-minus-red maintenance,754672,linear_logit
KR,KR,0.4666757325621007,0.5147723178134573,0.04809658525135663,0.04577886524533733,0.050414305257375926,0.001182510207152704,1.1535356155e-361,+1 versus -1 common SD of uncentred blue-minus-red maintenance,754605,linear_logit
