column,value,meaning
outcome,damage_growth_post_diff,damage growth post diff
outcome,gold_growth_post_diff,gold growth post diff
outcome,kills_post_diff,kills post diff
outcome,neutral_objectives_post_diff,neutral objectives post diff
model,M3 joint-action proxy,"Baseline with early state, combat, objectives and assists"
model,M4 shared-information maintenance,Baseline plus early maintenance
validation,focal_player_holdout,Fixed focal-player holdout
validation,heldout_EUW1,Held-out region Western European server
validation,heldout_KR,Held-out region Korean server
validation,heldout_NA1,Held-out region North American server
validation,no_sampling_tier_holdout,Focal-player holdout omitting sampling tier
validation,temporal_holdout,Chronological holdout
metric,auc,auc
metric,brier,brier
metric,log_loss,log loss
region,All,All regions
specification,additive,additive
specification,both_interactions,both interactions
specification,region_by_position,region by position
specification,region_by_tier,region by tier
signal_score,functional_groups,Equal weights across three ping categories
score,equal_nine_pings,Equal weights across nine ping indicators
score,functional_groups,Equal weights across three ping categories
specification,original,original
specification,original_first_objective_after_60_seconds,original first objective after 60 seconds
