measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
signalling,KR-NA,45,-0.0764702406285979,-0.3450215932550425,0.2685513526264446,descriptive; no pointwise inference
signalling,KR-NA,46,-0.0609849506270557,-0.3315448719074793,0.2705599212804235,descriptive; no pointwise inference
signalling,KR-NA,47,-0.0454510335613833,-0.3180680834771919,0.2726170499158086,descriptive; no pointwise inference
signalling,KR-NA,48,-0.0310217409870496,-0.3047675161069644,0.2737457751199147,descriptive; no pointwise inference
signalling,KR-NA,49,-0.014203588446775,-0.2922014747074165,0.2779978862606415,descriptive; no pointwise inference
signalling,KR-NA,50,0.0009324019272016,-0.2780544554666754,0.278986857393877,descriptive; no pointwise inference
signalling,KR-NA,51,0.0166451960102653,-0.2642725929956037,0.280917789005869,descriptive; no pointwise inference
signalling,KR-NA,52,0.0329321380575934,-0.2499690463937734,0.2829011844513668,descriptive; no pointwise inference
signalling,KR-NA,53,0.04873744761574,-0.2348319378732216,0.2835693854889617,descriptive; no pointwise inference
signalling,KR-NA,54,0.0654076339926412,-0.2199770182095688,0.2853846522022101,descriptive; no pointwise inference
signalling,KR-NA,55,0.0810772183526418,-0.2060698795792496,0.2871470979318914,descriptive; no pointwise inference
signalling,KR-NA,56,0.0985682482478924,-0.1896251573353923,0.2881934055832847,descriptive; no pointwise inference
signalling,KR-NA,57,0.1160987153788641,-0.1741945377948222,0.2902932531736864,descriptive; no pointwise inference
signalling,KR-NA,58,0.1323379532345818,-0.1576200071020212,0.2899579603366031,descriptive; no pointwise inference
signalling,KR-NA,59,0.1481289444559611,-0.1401729759417939,0.2883019203977551,descriptive; no pointwise inference
signalling,KR-NA,60,0.1672869351930944,-0.1228218581382979,0.2901087933313924,descriptive; no pointwise inference
signalling,KR-NA,61,0.18552703570564,-0.1063340180632157,0.2918610537688557,descriptive; no pointwise inference
signalling,KR-NA,62,0.203861905498586,-0.088503141082606,0.292365046581192,descriptive; no pointwise inference
signalling,KR-NA,63,0.222174953499192,-0.068536800293038,0.2907117537922301,descriptive; no pointwise inference
signalling,KR-NA,64,0.2418846726727501,-0.0501747771742774,0.2920594498470276,descriptive; no pointwise inference
