predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family
valid_wards_placed_diff_z,0.0755939192289327,0.0015768445451279,0.072503303920482,0.0786845345373834,1.0785245171525002,1.0751963584475577,1.0818629778271978,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,three_components_simultaneously,estimated,0.0
valid_ward_kills_diff_z,0.0527101176177782,0.0015126555128564,0.0497453128125795,0.0556749224229769,1.0541240288404712,1.0510033851900231,1.0572539383191075,4.8811221516451476e-266,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,three_components_simultaneously,estimated,1.812988227753912e-265
control_ward_purchases_diff_z,0.0402940228116864,0.0015267998544586,0.0373014950969475,0.0432865505264253,1.0411168412958,1.0380059273635978,1.0442370786675303,1.7307301052164264e-153,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,three_components_simultaneously,estimated,5.39987792827525e-153
