metric,wards_placed_pm,wards_killed_pm,control_wards_bought_pm,enemy_missing_pings_pm,enemy_vision_pings_pm,command_pings_pm,need_vision_pings_pm,assist_me_pings_pm,on_my_way_pings_pm,push_pings_pm,all_in_pings_pm,get_back_pings_pm,assists_pm,kills_pm,deaths_pm,gold_earned_pm,total_damage_dealt_pm,vision_score_pm
wards_placed_pm,1.0,0.240800537970578,0.552448968390539,0.1534075664094566,0.1397337110339249,0.1314702878728303,0.0945582210612912,0.0842765270856862,0.0649292536620821,0.0268006311840153,0.0517645420254742,0.0870771881269808,0.2002313546004524,-0.1076052780574141,0.0958778769149938,-0.0644122306604501,-0.0987061340495986,0.8120360182672066
wards_killed_pm,0.240800537970578,1.0,0.4647744952281187,0.0397667376648726,0.1910741339127375,0.1611059011572574,0.0023394249928166,0.0106801083150352,0.0339087303742321,-0.0517776667614322,-0.0218241750042893,0.0628104003030383,0.1211128923881281,0.04555145586408,0.1316103839302022,0.12541959548697,0.0497526922326637,0.6055684448418303
control_wards_bought_pm,0.552448968390539,0.4647744952281187,1.0,0.1089329237406082,0.1318458790809681,0.1702471599065751,0.0458379923661844,0.0741366367206001,0.1206005426979648,-0.0084660571193759,0.0234813746318678,0.1335603086492713,0.2372739366460337,-0.1238272011369781,0.1418045524940988,-0.0910956573298037,-0.1663563507731643,0.6489648736794246
enemy_missing_pings_pm,0.1534075664094566,0.0397667376648726,0.1089329237406082,1.0,0.244266211348141,0.2838687914053287,0.3258771791678461,0.444870918798482,0.4214616778878068,0.2184856708972196,0.2289835939435126,0.285460304549153,0.0181929690031351,0.0163386816779778,0.0307937579006819,0.0025221605856235,-0.0073525148165877,0.1477195219853153
enemy_vision_pings_pm,0.1397337110339249,0.1910741339127375,0.1318458790809681,0.244266211348141,1.0,-0.0352297145419478,0.0808740581029918,0.0988507418158384,0.1126526212325527,0.0508919719639188,0.0596131091274928,0.1607919361765988,0.0169192076616509,0.0190397763119501,0.0177439329451294,0.0469927792303093,0.011151213665411,0.1871964170017364
command_pings_pm,0.1314702878728303,0.1611059011572574,0.1702471599065751,0.2838687914053287,-0.0352297145419478,1.0,0.1770024925649226,0.3538000863729787,0.3913562936469398,0.1709015052266265,0.2108176288720528,0.1542125410306359,0.113760126790599,0.0768604077034568,0.0171609848423659,0.1029549839729327,0.0700856478736624,0.1770099671852842
need_vision_pings_pm,0.0945582210612912,0.0023394249928166,0.0458379923661844,0.3258771791678461,0.0808740581029918,0.1770024925649226,1.0,0.4173898622500936,0.307006329509212,0.2379479573183673,0.2602663853466458,0.2303737050513263,0.0352335425868516,0.0093974423893035,-0.0073077809211171,-0.0048090165306627,-0.0068778490640741,0.0792776901775196
assist_me_pings_pm,0.0842765270856862,0.0106801083150352,0.0741366367206001,0.444870918798482,0.0988507418158384,0.3538000863729787,0.4173898622500936,1.0,0.6272306036868772,0.2808088499639269,0.3781223068372451,0.3381823762897504,0.0863209851056891,0.0802483203836669,-0.0319007165606408,0.0689099798134158,0.043660037380739,0.0686837553477004
on_my_way_pings_pm,0.0649292536620821,0.0339087303742321,0.1206005426979648,0.4214616778878068,0.1126526212325527,0.3913562936469398,0.307006329509212,0.6272306036868772,1.0,0.3326329766950943,0.3597046738780388,0.3451135431812795,0.1342291637119433,0.1602622594616014,-0.0123425787647054,0.1388981842376208,0.0786904091595047,0.0850801046246111
push_pings_pm,0.0268006311840153,-0.0517776667614322,-0.0084660571193759,0.2184856708972196,0.0508919719639188,0.1709015052266265,0.2379479573183673,0.2808088499639269,0.3326329766950943,1.0,0.2367527259145256,-0.0023266865350408,0.0442805307431587,0.0100903665923048,-0.0065573473254162,-0.0160095525645407,-0.0292607414559725,-0.001323524646141
