region,display_region_linear,maintenance_difference_sd,model_predictor_z_linear,probability_linear,ci_low_linear,ci_high_linear,se_linear,n_model_matches_linear,n_reference_matches_linear,method_linear,specification_linear,display_region_spline,model_predictor_z_spline,probability_spline,ci_low_spline,ci_high_spline,se_spline,n_model_matches_spline,n_reference_matches_spline,method_spline,specification_spline,difference_percentage_points
NA,NA,-1.2999999999999998,-1.2576089465939224,0.4664140562443314,0.4646682578379826,0.4681598546506803,0.0008907134726269,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.2576089465939224,0.4659663459785105,0.4640498118496821,0.467882880107339,0.0009778235351165,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.044771026582091
NA,NA,-1.25,-1.2076089465939226,0.4673582006969945,0.46565359647512,0.469062804918869,0.0008696960315686,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.2076089465939226,0.4668520987091725,0.4649734692259201,0.4687307281924249,0.0009584844302308,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0506101987822027
NA,NA,-1.2,-1.1576089465939223,0.4683025562439563,0.466638472583198,0.4699666399047146,0.000849022275897,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.1576089465939223,0.4677420206367781,0.4658889326156924,0.4695951086578638,0.0009454530719825,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0560535607178169
NA,NA,-1.15,-1.1076089465939225,0.4692471167601285,0.467622825639659,0.470871407880598,0.0008287199594231,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.1076089465939225,0.4686365534725075,0.4667978781182893,0.4704752288267257,0.0009380996705195,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0610563287620991
NA,NA,-1.1,-1.057608946593923,0.4701918761157474,0.4686065907482887,0.4717771614832061,0.0008088190650299,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.057608946593923,0.4695361391545692,0.4677023685508875,0.471369909758251,0.0009355972467764,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.065573696117821
NA,NA,-1.0499999999999998,-1.0076089465939224,0.4711368281765092,0.469589698366423,0.4726839579865954,0.0007893519439215,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-1.0076089465939224,0.4704412198249218,0.4686047473107678,0.4722776923390758,0.0009369757725275,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0695608351587384
NA,NA,-1.0,-0.9576089465939224,0.4720819668037157,0.4705720740506819,0.4735918595567495,0.0007703534454253,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.9576089465939224,0.471352237805474,0.4695075204209658,0.4731969551899821,0.0009411823390347,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0729728998241752
NA,NA,-0.95,-0.9076089465939224,0.4730272858544126,0.471553638234696,0.4745009334741292,0.0007518610304676,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.9076089465939224,0.4722696355738296,0.4704132453320744,0.4741260258155848,0.0009471378784464,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0757650280582999
NA,NA,-0.8999999999999999,-0.8576089465939224,0.4739727791815338,0.4725343060560786,0.475411252306989,0.0007339148599261,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.8576089465939224,0.4731938557383077,0.4713244386724468,0.4750632728041687,0.000953784217276,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0778923443226109
NA,NA,-0.8499999999999999,-0.8076089465939223,0.4749184406340349,0.4735139872535656,0.4763228940145041,0.0007165578471781,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.8076089465939223,0.4741253410122721,0.4722435074677633,0.476007174556781,0.0009601191553616,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0793099621762771
