predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family,patch
maintenance_diff_z,0.1139487384081967,0.0526717147579052,0.0107121774827025,0.217185299333691,1.120694674818718,1.010769758277473,1.242574329001889,0.0305122503288939,1757,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.13,estimated,0.0355217242634884,14.13
maintenance_diff_z,0.101041157392412,0.0556612497340228,-0.0080548920862726,0.2101372068710967,1.1063221741622755,0.9919774616301448,1.233847340676264,0.0694797761535484,1570,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.14,estimated,0.0742386649311887,14.14
maintenance_diff_z,0.10919727029682,0.0546049311832842,0.0021716051775828,0.2162229354160572,1.1153823604493185,1.0021739648198678,1.241379095519714,0.0455251706143735,1603,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.15,estimated,0.050013567717199,14.15
maintenance_diff_z,0.0332211982116836,0.0550089186695774,-0.0745962823806881,0.1410386788040555,1.0337791840592503,0.9281181083358496,1.1514691845743936,0.5458942681877049,1655,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.16,estimated,0.5458942681877049,14.16
maintenance_diff_z,-0.0437582738859887,0.0551495081910195,-0.151851309940387,0.0643347621684096,0.9571853061948616,0.859116013255836,1.0664493459075066,0.4275167812956826,1635,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.17,estimated,0.4330689472865356,14.17
maintenance_diff_z,0.0929928161353045,0.0467874786057733,0.0012893580679886,0.1846962742026203,1.0974538512797862,1.0012901896474653,1.202853047139993,0.0468606219353944,2041,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.18,estimated,0.0507656737633439,14.18
maintenance_diff_z,0.0815168281705715,0.0483141296503599,-0.0131788659441339,0.1762125222852771,1.0849314748422982,0.9869075950735005,1.192691505242516,0.0915600133733532,2172,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.19,estimated,0.0965092032854263,14.19
maintenance_diff_z,0.1331566299307038,0.0489485768885254,0.0372174192291938,0.2290958406322137,1.142428922881083,1.0379186597831214,1.2574625492405629,0.0065215394580385,2112,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.20,estimated,0.0080742869480476,14.20
maintenance_diff_z,0.0930633706888793,0.0446033116982961,0.0056408797602189,0.1804858616175397,1.0975312843779288,1.0056568194797064,1.1977991864177615,0.0369362750023128,2404,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.21,estimated,0.0411575635740056,14.21
maintenance_diff_z,0.1190015517401843,0.0401276278856096,0.0403514010843894,0.1976517023959792,1.1263716661231735,1.0411765804956852,1.2185379060688082,0.0030211616097693,3089,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.22,estimated,0.0038631246813443,14.22
maintenance_diff_z,0.0643737938421841,0.0301013298039338,0.0053751874264737,0.1233724002578945,1.0664909720228362,1.005389659665121,1.1313056410238636,0.0324705282660878,5224,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.23,estimated,0.0372456059522771,14.23
