metric,wards_placed_pm,wards_killed_pm,control_wards_bought_pm,enemy_missing_pings_pm,enemy_vision_pings_pm,command_pings_pm,need_vision_pings_pm,assist_me_pings_pm,on_my_way_pings_pm,push_pings_pm,all_in_pings_pm,get_back_pings_pm,assists_pm,kills_pm,deaths_pm,gold_earned_pm,total_damage_dealt_pm,vision_score_pm
wards_placed_pm,1.0,0.2039862384095018,0.4625627299212523,0.1388558196965343,0.1510744778362173,0.1381524812822782,0.08717524861052,0.0684773957313973,0.0487518054901375,0.055514619123806,0.04027995360265,0.0548316391229795,0.172524835247976,-0.0858320668524519,0.0392528622636933,-0.0773450089007899,-0.0947906794885807,0.8301058913720933
wards_killed_pm,0.2039862384095018,1.0,0.4719090664183974,0.0846991827491678,0.2205666386455747,0.1160585801063962,0.0233127000300654,0.0191609619284251,0.0530907413336851,0.0178628263012437,-0.0088239696649792,0.0599195229523577,0.1239297098161858,-0.0045434785851228,0.0873466778216491,0.0155952371048776,-0.0757655966278304,0.5549834245229542
control_wards_bought_pm,0.4625627299212523,0.4719090664183974,1.0,0.1222514792670237,0.1527321480866523,0.1314579316626345,0.0562173832897323,0.0749193368866849,0.0940540945173311,0.0424225077723688,0.0092479147660563,0.0780711669141577,0.1711527652813077,-0.1139966020475564,0.09166126941968,-0.1119171302282222,-0.1787196924106543,0.5661376022283134
enemy_missing_pings_pm,0.1388558196965343,0.0846991827491678,0.1222514792670237,1.0,0.266893975972527,0.3434444825508927,0.3516398430201963,0.4321173799629747,0.4565047409284229,0.2888074534552737,0.2507493592681103,0.2210921470076746,0.0265883811681947,0.0295871105203176,0.0692596053405322,0.0485759143614508,0.0321406283948784,0.1590784671055384
enemy_vision_pings_pm,0.1510744778362173,0.2205666386455747,0.1527321480866523,0.266893975972527,1.0,0.0456937474718326,0.1437331027348598,0.1224010757471873,0.1729449787176639,0.1700181884656053,0.1386871949125109,0.1467772193428912,0.0359526251094525,-0.0058338358483446,0.0099946487123145,0.0141675034506289,-0.0131673674883525,0.2080472732071564
command_pings_pm,0.1381524812822782,0.1160585801063962,0.1314579316626345,0.3434444825508927,0.0456937474718326,1.0,0.2877934377558896,0.3685830730455776,0.3786273128423313,0.2667554180612198,0.2540873901903404,0.1020825566198944,0.085973886292558,0.0650645995641962,-0.0379261365154181,0.0732059925481212,0.0416266227860357,0.1564730577266768
need_vision_pings_pm,0.08717524861052,0.0233127000300654,0.0562173832897323,0.3516398430201963,0.1437331027348598,0.2877934377558896,1.0,0.467059484691827,0.3490754415107722,0.3686998616765815,0.327048017347427,0.2248112515799301,0.0155835910057664,0.0498883810989943,0.0077824553937788,0.0561978291859993,0.0445507410332939,0.1003276458887797
assist_me_pings_pm,0.0684773957313973,0.0191609619284251,0.0749193368866849,0.4321173799629747,0.1224010757471873,0.3685830730455776,0.467059484691827,1.0,0.5545564834729967,0.3308200664061915,0.3577747818395838,0.2126524667286295,0.0333387280860029,0.1137809669195662,-0.0300602653900917,0.1153374302418615,0.080779827122581,0.0703719128859991
on_my_way_pings_pm,0.0487518054901375,0.0530907413336851,0.0940540945173311,0.4565047409284229,0.1729449787176639,0.3786273128423313,0.3490754415107722,0.5545564834729967,1.0,0.3983965659127422,0.3386793239851983,0.2731310110786416,0.0932404245213365,0.154489807855449,0.0036219123947168,0.1410326666649744,0.0702328251376104,0.0853992684960224
push_pings_pm,0.055514619123806,0.0178628263012437,0.0424225077723688,0.2888074534552737,0.1700181884656053,0.2667554180612198,0.3686998616765815,0.3308200664061915,0.3983965659127422,1.0,0.3502850890484164,0.1778360259361256,0.0223893790343316,0.037922709348158,0.0033621662746522,0.0514033177881722,0.0415057782002448,0.0568354507388459
all_in_pings_pm,0.04027995360265,-0.0088239696649792,0.0092479147660563,0.2507493592681103,0.1386871949125109,0.2540873901903404,0.327048017347427,0.3577747818395838,0.3386793239851983,0.3502850890484164,1.0,0.163332881548797,0.0104183908019948,0.0763432388245302,-0.0611015608667153,0.0757200516116424,0.0607197565642251,0.0324277039810353
get_back_pings_pm,0.0548316391229795,0.0599195229523577,0.0780711669141577,0.2210921470076746,0.1467772193428912,0.1020825566198944,0.2248112515799301,0.2126524667286295,0.2731310110786416,0.1778360259361256,0.163332881548797,1.0,0.0335919570983728,0.0030917712992358,0.0772044859920758,0.0162003390447806,0.0119567670501198,0.083933595309633
assists_pm,0.172524835247976,0.1239297098161858,0.1711527652813077,0.0265883811681947,0.0359526251094525,0.085973886292558,0.0155835910057664,0.0333387280860029,0.0932404245213365,0.0223893790343316,0.0104183908019948,0.0335919570983728,1.0,-0.1259000590720465,0.0901049282776735,-0.1068429896846953,-0.2706172490168169,0.199801866359052
kills_pm,-0.0858320668524519,-0.0045434785851228,-0.1139966020475564,0.0295871105203176,-0.0058338358483446,0.0650645995641962,0.0498883810989943,0.1137809669195662,0.154489807855449,0.037922709348158,0.0763432388245302,0.0030917712992358,-0.1259000590720465,1.0,-0.0670421809746128,0.8140102006706635,0.4575576069654151,-0.0538688332576188
deaths_pm,0.0392528622636933,0.0873466778216491,0.09166126941968,0.0692596053405322,0.0099946487123145,-0.0379261365154181,0.0077824553937788,-0.0300602653900917,0.0036219123947168,0.0033621662746522,-0.0611015608667153,0.0772044859920758,0.0901049282776735,-0.0670421809746128,1.0,0.0562120571098585,0.0223020387303419,0.1021245919563342
