patch,n_matches
14.13,1757
14.14,1570
14.15,1603
14.16,1655
14.17,1635
14.18,2041
14.19,2172
14.20,2112
14.21,2404
14.22,3089
14.23,5224
14.24,7638
15.1,5537
15.2,4548
15.3,5176
15.4,5026
15.5,3937
15.6,4254
15.7,3905
15.8,4433
15.9,5118
15.10,5707
15.11,6272
15.12,7700
15.13,11660
15.14,10370
15.15,9803
15.16,10695
15.17,10964
15.18,12164
15.19,15091
15.20,16521
15.21,17439
15.22,25172
15.23,34050
15.24,138968
16.1,234473
16.2,281128
16.3,371632
16.4,440223
16.5,346660
16.6,128266
