specification,predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,status,q_value_within_sensitivity_family
strict_nominal_10min_earlier_state_frame,maintenance_diff_z,0.096543749432184,0.0014838426726906,0.0936354177937104,0.0994520810706577,1.101357763866604,1.0981593035827768,1.1045655398737089,0.0,2210949,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
window_0_15,maintenance_diff_z,0.1011768246461231,0.0017107578273226,0.0978237393045707,0.1045299099876756,1.1064722760350882,1.102768393253297,1.110188599096947,0.0,2080676,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
purchase_net_of_undo,maintenance_diff_z,0.0956729656311995,0.001490066269366,0.0927524357432421,0.0985934955191568,1.1003991368057726,1.097190076597146,1.1036175828698147,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
first_legally_assigned_objective,maintenance_diff_z,0.0956139789766443,0.0014875617771694,0.0926983578933922,0.0985296000598963,1.1003342298563576,1.097130744521217,1.1035470689702922,0.0,2217022,first_legal_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
omit_sampling_time_tier,maintenance_diff_z,0.0954668602100553,0.0014896725016474,0.0925471021068262,0.0983866183132844,1.1001723619488208,1.0969648096971063,1.1033892931627014,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
add_final_duration,maintenance_diff_z,0.0954983581113821,0.001490011202689,0.0925779361541116,0.0984187800686527,1.100207015615076,1.0969986340833875,1.1034247806698914,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
region_tier_balanced_matches,maintenance_diff_z,0.094377196079365,0.0016608084782687,0.0911220114619581,0.0976323806967718,1.0989741965059363,1.0954026487838897,1.1025573892182026,0.0,1773618,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
coverage_inverse_probability_weighted,maintenance_diff_z,0.0955304977167006,0.0014899537748877,0.0926101883179207,0.0984508071154806,1.1002423764025644,1.097034015233589,1.103460120672928,0.0,2210921,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,0.0
all_ten_participants_disjoint,maintenance_diff_z,0.0919061688188746,0.0076240629076015,0.0769630055199757,0.1068493321177736,1.0962619537008231,1.0800021215366389,1.1127665836637666,1.8308819802654677e-33,85451,first_post_neutral_blue,logistic,match-score HC0 Wald,estimated,3.4002093919215835e-33
