measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
maintenance,KR-EUW,58,0.2536281695609139,-0.0750129970765506,0.3286411666374645,descriptive; no pointwise inference
maintenance,KR-EUW,59,0.2643120345247359,-0.0657396087239427,0.3300516432486786,descriptive; no pointwise inference
maintenance,KR-EUW,60,0.2753546009488648,-0.056676262159192,0.3320308631080569,descriptive; no pointwise inference
maintenance,KR-EUW,61,0.286843758920543,-0.0462681411457641,0.3331119000663072,descriptive; no pointwise inference
maintenance,KR-EUW,62,0.2984055999412321,-0.0363251124067162,0.3347307123479484,descriptive; no pointwise inference
maintenance,KR-EUW,63,0.3105143191990145,-0.0262049514878205,0.3367192706868351,descriptive; no pointwise inference
maintenance,KR-EUW,64,0.3220729779934918,-0.0165294019092915,0.3386023799027834,descriptive; no pointwise inference
maintenance,KR-EUW,65,0.3341891849373686,-0.0067854217586221,0.3409746066959908,descriptive; no pointwise inference
maintenance,KR-EUW,66,0.3464249483061167,0.0040661327663513,0.3423588155397653,descriptive; no pointwise inference
maintenance,KR-EUW,67,0.3596766233555244,0.0151542064460243,0.3445224169095001,descriptive; no pointwise inference
maintenance,KR-EUW,68,0.3720481828890244,0.0262193679193098,0.3458288149697145,descriptive; no pointwise inference
maintenance,KR-EUW,69,0.3858186577130551,0.03779228725262,0.3480263704604351,descriptive; no pointwise inference
maintenance,KR-EUW,70,0.4002113878137575,0.0494308121938881,0.3507805756198693,descriptive; no pointwise inference
maintenance,KR-EUW,71,0.414710940661434,0.0611520793822274,0.3535588612792065,descriptive; no pointwise inference
maintenance,KR-EUW,72,0.4275042821914058,0.0735200772236074,0.3539842049677983,descriptive; no pointwise inference
maintenance,KR-EUW,73,0.4418296351297176,0.0863414816299038,0.3554881534998138,descriptive; no pointwise inference
maintenance,KR-EUW,74,0.4581795619942369,0.0988657045465905,0.3593138574476463,descriptive; no pointwise inference
maintenance,KR-EUW,75,0.4732881064150436,0.1120813717196212,0.3612067346954224,descriptive; no pointwise inference
maintenance,KR-EUW,76,0.4889251411277731,0.1271516435844054,0.3617734975433677,descriptive; no pointwise inference
maintenance,KR-EUW,77,0.5070874909741472,0.1419029804173382,0.365184510556809,descriptive; no pointwise inference
maintenance,KR-EUW,78,0.5244543364640771,0.1555993608845514,0.3688549755795257,descriptive; no pointwise inference
maintenance,KR-EUW,79,0.5425831076485801,0.1704519015498034,0.3721312060987767,descriptive; no pointwise inference
maintenance,KR-EUW,80,0.5607890645274065,0.1868164272999632,0.3739726372274432,descriptive; no pointwise inference
maintenance,KR-EUW,81,0.5806987868579969,0.203612568111092,0.3770862187469049,descriptive; no pointwise inference
maintenance,KR-EUW,82,0.602044490727419,0.2210762591758782,0.3809682315515407,descriptive; no pointwise inference
maintenance,KR-EUW,83,0.6221216174980335,0.2389265109366858,0.3831951065613477,descriptive; no pointwise inference
maintenance,KR-EUW,84,0.643933884935687,0.258866750598947,0.38506713433674,descriptive; no pointwise inference
maintenance,KR-EUW,85,0.6687913279923536,0.2800972939527861,0.3886940340395675,descriptive; no pointwise inference
maintenance,KR-EUW,86,0.6948482429943348,0.3020387102668525,0.3928095327274822,descriptive; no pointwise inference
maintenance,KR-EUW,87,0.7217594354490553,0.3247776416398243,0.396981793809231,descriptive; no pointwise inference
maintenance,KR-EUW,88,0.7507994408667605,0.3501732500509817,0.4006261908157788,descriptive; no pointwise inference
maintenance,KR-EUW,89,0.7806586610277618,0.3784250274281568,0.4022336335996049,descriptive; no pointwise inference
maintenance,KR-EUW,90,0.8174983699705443,0.4090132732348309,0.4084850967357133,descriptive; no pointwise inference
maintenance,KR-EUW,91,0.8539312048130253,0.4439394329839013,0.4099917718291239,descriptive; no pointwise inference
maintenance,KR-EUW,92,0.8917469312006986,0.4866186473207807,0.4051282838799178,descriptive; no pointwise inference
maintenance,KR-EUW,93,0.9385222441688772,0.5341541151081731,0.4043681290607042,descriptive; no pointwise inference
maintenance,KR-EUW,94,0.989784381185286,0.5897720790240208,0.4000123021612652,descriptive; no pointwise inference
maintenance,KR-EUW,95,1.0479142489234956,0.6579688118100574,0.3899454371134382,descriptive; no pointwise inference
maintenance,KR-EUW,96,1.1171498848804828,0.7418349835974044,0.3753149012830784,descriptive; no pointwise inference
maintenance,KR-EUW,97,1.2028696711517917,0.8404272200924786,0.362442451059313,descriptive; no pointwise inference
maintenance,KR-EUW,98,1.3158040595301737,0.9691222861984315,0.346681773331742,descriptive; no pointwise inference
maintenance,KR-EUW,99,1.5060297065568675,1.184391082240131,0.3216386243167368,descriptive; no pointwise inference
signalling,KR-EUW,1,-1.019342841818026,-1.117220119407166,0.0978772775891401,descriptive; no pointwise inference
signalling,KR-EUW,2,-0.92285201216717,-1.0293775133659853,0.1065255011988153,descriptive; no pointwise inference
signalling,KR-EUW,3,-0.862632527126072,-0.9707453151541696,0.1081127880280977,descriptive; no pointwise inference
signalling,KR-EUW,4,-0.8112702500429039,-0.927433544257789,0.1161632942148851,descriptive; no pointwise inference
signalling,KR-EUW,5,-0.776518752755824,-0.8915870785380525,0.1150683257822284,descriptive; no pointwise inference
signalling,KR-EUW,6,-0.7420463505875138,-0.8604655777912515,0.1184192272037377,descriptive; no pointwise inference
signalling,KR-EUW,7,-0.7124603559673486,-0.8312390825935286,0.11877872662618,descriptive; no pointwise inference
signalling,KR-EUW,8,-0.6875206869316005,-0.8060774207382696,0.118556733806669,descriptive; no pointwise inference
signalling,KR-EUW,9,-0.6611032730956246,-0.7821940642162951,0.1210907911206705,descriptive; no pointwise inference
signalling,KR-EUW,10,-0.6378717211946702,-0.759591002106824,0.1217192809121537,descriptive; no pointwise inference
signalling,KR-EUW,11,-0.6167590605097449,-0.7385354335219565,0.1217763730122115,descriptive; no pointwise inference
signalling,KR-EUW,12,-0.5953529214774795,-0.7189059888479702,0.1235530673704906,descriptive; no pointwise inference
signalling,KR-EUW,13,-0.5742507132920404,-0.7008291119599181,0.1265783986678778,descriptive; no pointwise inference
signalling,KR-EUW,14,-0.5546381190525962,-0.6833154276623502,0.128677308609754,descriptive; no pointwise inference
signalling,KR-EUW,15,-0.5364741839097571,-0.6667743633113148,0.1303001794015577,descriptive; no pointwise inference
signalling,KR-EUW,16,-0.5171534027513525,-0.6509988030621973,0.1338454003108448,descriptive; no pointwise inference
signalling,KR-EUW,17,-0.4985815069842621,-0.6340314296620239,0.1354499226777617,descriptive; no pointwise inference
signalling,KR-EUW,18,-0.4816774706353973,-0.6187231352450886,0.1370456646096913,descriptive; no pointwise inference
signalling,KR-EUW,19,-0.4649559288237229,-0.6029615393444915,0.1380056105207685,descriptive; no pointwise inference
signalling,KR-EUW,20,-0.4487444085347123,-0.5884832840836273,0.1397388755489149,descriptive; no pointwise inference
signalling,KR-EUW,21,-0.4321084998084313,-0.5733086084196208,0.1412001086111894,descriptive; no pointwise inference
signalling,KR-EUW,22,-0.4170957075067998,-0.5596379718026029,0.142542264295803,descriptive; no pointwise inference
signalling,KR-EUW,23,-0.4014013942787849,-0.546583885212422,0.145182490933637,descriptive; no pointwise inference
signalling,KR-EUW,24,-0.3871347943150582,-0.5327103061830515,0.1455755118679932,descriptive; no pointwise inference
signalling,KR-EUW,25,-0.3722681066577541,-0.5187967914511002,0.146528684793346,descriptive; no pointwise inference
signalling,KR-EUW,26,-0.3566201737236426,-0.5055898967024761,0.1489697229788334,descriptive; no pointwise inference
signalling,KR-EUW,27,-0.3422909007204759,-0.4915170454033816,0.1492261446829056,descriptive; no pointwise inference
signalling,KR-EUW,28,-0.3269005754867579,-0.4765867251604163,0.1496861496736584,descriptive; no pointwise inference
signalling,KR-EUW,29,-0.3120797115338585,-0.4631947965162985,0.1511150849824399,descriptive; no pointwise inference
signalling,KR-EUW,30,-0.2974244551314184,-0.4489689580658675,0.151544502934449,descriptive; no pointwise inference
signalling,KR-EUW,31,-0.2837846663033699,-0.4351275418908488,0.1513428755874789,descriptive; no pointwise inference
signalling,KR-EUW,32,-0.2690880594789744,-0.421668181408679,0.1525801219297046,descriptive; no pointwise inference
signalling,KR-EUW,33,-0.2544408190541162,-0.4078624452127115,0.1534216261585952,descriptive; no pointwise inference
signalling,KR-EUW,34,-0.2392361924411142,-0.395180822394525,0.1559446299534107,descriptive; no pointwise inference
signalling,KR-EUW,35,-0.2240909633811662,-0.3817126898441112,0.157621726462945,descriptive; no pointwise inference
signalling,KR-EUW,36,-0.209463422304238,-0.3679943922450722,0.1585309699408341,descriptive; no pointwise inference
signalling,KR-EUW,37,-0.1948469469306094,-0.3541079090197627,0.1592609620891533,descriptive; no pointwise inference
