predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family
maintenance_diff_z,0.0987859168176153,0.0038402741186092,0.0912589795451411,0.1063128540900895,1.1038299628306707,1.0955526942604932,1.1121697689449954,6.355364152572484e-146,277676,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_IRON,estimated,1.83599408852094e-145
maintenance_diff_z,0.091656457756026,0.0035714945810124,0.0846563283772415,0.0986565871348105,1.0959882391394034,1.0883429698242837,1.1036872140827316,3.001521167781589e-145,339992,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_BRONZE,estimated,8.361380395962998e-145
maintenance_diff_z,0.0998461544487568,0.0038406282914061,0.0923185229976007,0.1073737858999128,1.105000905524711,1.0967140951132035,1.1133503313681727,5.306002351994739e-149,319601,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_SILVER,estimated,1.591800705598422e-148
maintenance_diff_z,0.0923995048135378,0.0038530979279587,0.0848474328747386,0.099951576752337,1.0968029126084424,1.0885509769355506,1.1051174034062592,4.435077939400757e-127,338501,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_GOLD,estimated,1.1159228363653518e-126
maintenance_diff_z,0.0945683646861418,0.0041221296906211,0.0864889904925243,0.1026477388797592,1.0991843059544917,1.0903393635523255,1.108100999417578,1.7862073957168886e-116,309870,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_PLATINUM,estimated,4.3538805270599164e-116
maintenance_diff_z,0.0911789134582431,0.0042045096057961,0.0829380746308826,0.0994197522856036,1.0954649811547426,1.086474526128948,1.1045298311890044,2.7826433148067185e-104,310041,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_EMERALD,estimated,6.029060515414557e-104
maintenance_diff_z,0.0934506732061514,0.0043020812763433,0.0850185939045184,0.1018827525077844,1.0979564433344058,1.0887373103877884,1.1072536414042409,1.265683394476076e-104,315240,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_DIAMOND,estimated,2.820665850546684e-104
